"","sample_no","image_name","year","age","sex_histology","maturation_status_histology","maturity","anu_adj","radcap","length_mm","Increment1","Increment2","Increment3","Increment4","Increment5","Increment6","Increment7","anu1","anu2","anu3","anu4","anu5","anu6","anu7"
"1",2,"17NPRB000204S1S2",2017,4,"Female","4","mature",0.297,3.284,200,1.976,0.73,0.281,0.297,NA,NA,NA,1.976,0.73,0.281,0.297,0,0,0
"2",3,"17NPRB000306S1S3",2017,6,"Female","4","mature",0.101,4.553,211,1.597,1.451,0.57,0.509,0.325,0.101,NA,1.597,1.451,0.57,0.509,0.325,0.101,0
"3",4,"17NPRB000404S1S4",2017,4,"Female","4","mature",0.343,4.2,208,1.952,1.249,0.656,0.343,NA,NA,NA,1.952,1.249,0.656,0.343,0,0,0
"4",9,"17NPRB000906S1S9",2017,6,"Female","4","mature",0.159,5.262,219,1.859,1.262,0.831,0.561,0.59,0.159,NA,1.859,1.262,0.831,0.561,0.59,0.159,0
"5",16,"17NPRB001603S2S1",2017,3,"Female","4","mature",0.501,2.872,180,1.471,0.9,0.501,NA,NA,NA,NA,1.471,0.9,0.501,0,0,0,0
"6",18,"17NPRB001804S2S3",2017,4,"Female","3","mature",0.169,3.017,180,1.253,1.077,0.518,0.169,NA,NA,NA,1.253,1.077,0.518,0.169,0,0,0
"7",19,"17NPRB001904S2S4",2017,4,"Female","3","mature",0.386,3.983,191,1.68,1.297,0.62,0.386,NA,NA,NA,1.68,1.297,0.62,0.386,0,0,0
"8",20,"17NPRB002004S2S5",2017,4,"Female","3","mature",0.27,2.998,180,1.247,0.916,0.565,0.27,NA,NA,NA,1.247,0.916,0.565,0.27,0,0,0
"9",25,"17NPRB002503S2S10",2017,3,"Female","3","mature",0.528,2.757,173,1.436,0.793,0.528,NA,NA,NA,NA,1.436,0.793,0.528,0,0,0,0
"10",28,"17NPRB002804S2S13",2017,4,"Female","3","mature",0.179,2.464,183,0.959,0.972,0.354,0.179,NA,NA,NA,0.959,0.972,0.354,0.179,0,0,0
"11",31,"17NPRB003104S3S1",2017,4,"Female","4","mature",0.521,2.786,185,0.883,1.382,0.521,NA,NA,NA,NA,0.883,1.382,0.521,0,0,0,0
"12",45,"17NPRB004503S3S15",2017,3,"Female","3","mature",0.667,3.337,194,1.752,0.918,0.667,NA,NA,NA,NA,1.752,0.918,0.667,0,0,0,0
"13",73,"17NPRB007304S5S13",2017,4,"Female","3","mature",0.215,3.226,192,1.494,1.002,0.515,0.215,NA,NA,NA,1.494,1.002,0.515,0.215,0,0,0
"14",84,"17NPRB008404S6S9",2017,4,"Female","3","mature",0.333,3.426,184,1.44,0.875,0.778,0.333,NA,NA,NA,1.44,0.875,0.778,0.333,0,0,0
"15",102,"17NPRB010204S7S12",2017,4,"Female","3","mature",0.538,4.927,188,2.402,0.977,1.01,0.538,NA,NA,NA,2.402,0.977,1.01,0.538,0,0,0
"16",129,"17NPRB012904S9S9",2017,4,"Female","3","mature",0.328,4.105,204,2.125,1.19,0.462,0.328,NA,NA,NA,2.125,1.19,0.462,0.328,0,0,0
"17",134,"17NPRB013404S9S14",2017,4,"Female","4","mature",0.601,5.242,192,2.229,1.408,1.004,0.601,NA,NA,NA,2.229,1.408,1.004,0.601,0,0,0
"18",135,"17NPRB013503S9S15",2017,3,"Female","3","mature",0.365,2.731,170,1.26,1.106,0.365,NA,NA,NA,NA,1.26,1.106,0.365,0,0,0,0
"19",142,"17NPRB014204S10S7",2017,4,"Female","4","mature",0.172,3.268,204,1.62,1.072,0.404,0.172,NA,NA,NA,1.62,1.072,0.404,0.172,0,0,0
"20",144,"17NPRB014404S10S9",2017,4,"Female","3","mature",0.253,3.562,187,1.776,1.078,0.455,0.253,NA,NA,NA,1.776,1.078,0.455,0.253,0,0,0
"21",145,"17NPRB014503S10S10",2017,3,"Female","3","mature",0.427,2.646,181,1.377,0.842,0.427,NA,NA,NA,NA,1.377,0.842,0.427,0,0,0,0
"22",150,"17NPRB015004S10S15",2017,4,"Female","3","mature",0.288,3.651,177,1.436,1.01,0.917,0.288,NA,NA,NA,1.436,1.01,0.917,0.288,0,0,0
"23",154,"17NPRB015404S11S4",2017,4,"Female","3","mature",0.435,5.162,196,2.256,1.504,0.967,0.435,NA,NA,NA,2.256,1.504,0.967,0.435,0,0,0
"24",156,"17NPRB015604S11S6",2017,4,"Female","4","mature",0.43,4.324,202,1.786,1.329,0.779,0.43,NA,NA,NA,1.786,1.329,0.779,0.43,0,0,0
"25",157,"17NPRB015703S11S7",2017,3,"Female","3","mature",0.677,3.958,185,2.147,1.134,0.677,NA,NA,NA,NA,2.147,1.134,0.677,0,0,0,0
"26",167,"17NPRB016704S12S2",2017,4,"Female","4","mature",0.391,4.338,197,1.762,1.614,0.571,0.391,NA,NA,NA,1.762,1.614,0.571,0.391,0,0,0
"27",176,"17NPRB017606S12S11",2017,6,"Female","4","mature",0.192,4.256,183,1.316,1.341,0.845,0.305,0.257,0.192,NA,1.316,1.341,0.845,0.305,0.257,0.192,0
"28",180,"17NPRB018003S12S15",2017,3,"Female","3","mature",0.759,4.109,183,2.127,1.223,0.759,NA,NA,NA,NA,2.127,1.223,0.759,0,0,0,0
"29",181,"17NPRB018104S13S1",2017,4,"Female","4","mature",0.369,4.734,202,2.275,1.299,0.791,0.369,NA,NA,NA,2.275,1.299,0.791,0.369,0,0,0
"30",188,"17NPRB018804S13S8",2017,4,"Female","3","mature",0.408,4.421,195,2.105,1.28,0.628,0.408,NA,NA,NA,2.105,1.28,0.628,0.408,0,0,0
"31",190,"17NPRB019006S13S10",2017,6,"Female","5","mature",0.265,3.683,197,1.018,0.797,0.635,0.331,0.637,0.265,NA,1.018,0.797,0.635,0.331,0.637,0.265,0
"32",191,"17NPRB019104S13S11",2017,4,"Female","3","mature",0.276,4.105,195,2.213,0.844,0.772,0.276,NA,NA,NA,2.213,0.844,0.772,0.276,0,0,0
"33",194,"17NPRB019404S13S14",2017,4,"Female","4","mature",0.342,4.215,189,2.206,0.993,0.674,0.342,NA,NA,NA,2.206,0.993,0.674,0.342,0,0,0
"34",196,"17NPRB019604S14S1",2017,4,"Female","3","mature",0.308,3.832,180,1.484,1.285,0.755,0.308,NA,NA,NA,1.484,1.285,0.755,0.308,0,0,0
"35",197,"17NPRB019704S14S2",2017,4,"Female","3","mature",0.746,3.575,194,1.831,0.998,0.746,NA,NA,NA,NA,1.831,0.998,0.746,0,0,0,0
"36",200,"17NPRB020003S14S5",2017,3,"Female","3","mature",0.556,3.616,183,1.987,1.073,0.556,NA,NA,NA,NA,1.987,1.073,0.556,0,0,0,0
"37",202,"17NPRB020203S14S7",2017,3,"Female","3","mature",0.576,4.596,190,2.54,1.48,0.576,NA,NA,NA,NA,2.54,1.48,0.576,0,0,0,0
"38",204,"17NPRB020404S14S9",2017,4,"Female","3","mature",0.284,3.542,195,1.541,1.313,0.404,0.284,NA,NA,NA,1.541,1.313,0.404,0.284,0,0,0
"39",212,"17NPRB021206S15S2",2017,6,"Female","4","mature",0.077,4.962,221,2.27,1.075,0.467,0.463,0.289,0.321,0.077,2.27,1.075,0.467,0.463,0.289,0.321,0.077
"40",216,"17NPRB021603S15S6",2017,3,"Female","3","mature",0.46,3.549,189,1.944,1.145,0.46,NA,NA,NA,NA,1.944,1.145,0.46,0,0,0,0
"41",218,"17NPRB021803S15S8",2017,3,"Female","4","mature",0.277,3.233,188,1.992,0.964,0.277,NA,NA,NA,NA,1.992,0.964,0.277,0,0,0,0
"42",220,"17NPRB022004S15S10",2017,4,"Female","3","mature",0.191,3.362,186,1.285,1.076,0.81,0.191,NA,NA,NA,1.285,1.076,0.81,0.191,0,0,0
"43",223,"17NPRB022306S15S13",2017,6,"Female","4","mature",0.126,4.306,207,1.859,1.116,0.735,0.313,0.157,0.126,NA,1.859,1.116,0.735,0.313,0.157,0.126,0
"44",227,"17NPRB022704S16S2",2017,4,"Female","3","mature",0.331,3.881,193,1.314,1.314,0.922,0.331,NA,NA,NA,1.314,1.314,0.922,0.331,0,0,0
"45",229,"17NPRB022904S16S4",2017,4,"Female","4","mature",0.32,4.354,200,1.896,1.499,0.639,0.32,NA,NA,NA,1.896,1.499,0.639,0.32,0,0,0
"46",233,"17NPRB023306S16S8",2017,6,"Female","4","mature",0.071,2.953,204,1.574,0.618,0.406,0.088,0.196,0.071,NA,1.574,0.618,0.406,0.088,0.196,0.071,0
"47",234,"17NPRB023404S16S9",2017,4,"Female","4","mature",0.169,3.426,195,1.962,1.074,0.221,0.169,NA,NA,NA,1.962,1.074,0.221,0.169,0,0,0
"48",235,"17NPRB023503S16S10",2017,3,"Female","3","mature",0.484,3.136,189,1.453,1.199,0.484,NA,NA,NA,NA,1.453,1.199,0.484,0,0,0,0
"49",239,"17NPRB023904S16S14",2017,4,"Female","3","mature",0.564,4.665,197,1.942,1.235,0.924,0.564,NA,NA,NA,1.942,1.235,0.924,0.564,0,0,0
"50",244,"17NPRB024405S17S4",2017,5,"Female","4","mature",0.315,4.174,194,1.207,1.531,0.686,0.435,0.315,NA,NA,1.207,1.531,0.686,0.435,0.315,0,0
"51",245,"17NPRB024504S17S5",2017,4,"Female","2","mature",0.411,3.719,179,1.551,1.243,0.514,0.411,NA,NA,NA,1.551,1.243,0.514,0.411,0,0,0
"52",247,"17NPRB024704S17S7",2017,4,"Female","3","mature",0.523,4.102,196,1.637,1.199,0.743,0.523,NA,NA,NA,1.637,1.199,0.743,0.523,0,0,0
"53",248,"17NPRB024806S17S8",2017,6,"Female","3","mature",0.156,4.316,196,1.089,1.504,0.679,0.624,0.264,0.156,NA,1.089,1.504,0.679,0.624,0.264,0.156,0
"54",249,"17NPRB024903S17S9",2017,3,"Female","4","mature",0.568,4.026,182,2.182,1.276,0.568,NA,NA,NA,NA,2.182,1.276,0.568,0,0,0,0
"55",255,"17NPRB025503S17S15",2017,3,"Female","3","mature",0.577,3.671,193,1.983,1.111,0.577,NA,NA,NA,NA,1.983,1.111,0.577,0,0,0,0
"56",257,"17NPRB025704S18S2",2017,4,"Female","3","mature",0.283,3.502,192,1.407,1.23,0.582,0.283,NA,NA,NA,1.407,1.23,0.582,0.283,0,0,0
"57",258,"17NPRB025803S18S3",2017,3,"Female","4","mature",0.594,3.356,177,1.672,1.09,0.594,NA,NA,NA,NA,1.672,1.09,0.594,0,0,0,0
"58",259,"17NPRB025906S18S4",2017,6,"Female","5","mature",0.141,4.938,211,1.663,1.493,0.792,0.468,0.381,0.141,NA,1.663,1.493,0.792,0.468,0.381,0.141,0
"59",262,"17NPRB026204S18S7",2017,4,"Female","3","mature",0.228,4.323,187,1.617,2.03,0.448,0.228,NA,NA,NA,1.617,2.03,0.448,0.228,0,0,0
"60",264,"17NPRB026404S18S9",2017,4,"Female","3","mature",0.607,5.152,200,2.015,1.698,0.832,0.607,NA,NA,NA,2.015,1.698,0.832,0.607,0,0,0
"61",266,"17NPRB026605S18S11",2017,5,"Female","3","mature",0.332,4.054,186,1.667,1.225,0.463,0.367,0.332,NA,NA,1.667,1.225,0.463,0.367,0.332,0,0
"62",268,"17NPRB026804S18S13",2017,4,"Female","4","mature",0.325,4.2,206,1.742,1.502,0.631,0.325,NA,NA,NA,1.742,1.502,0.631,0.325,0,0,0
"63",270,"17NPRB027006S18S15",2017,6,"Female","4","mature",0.129,3.067,191,1.024,0.81,0.702,0.228,0.174,0.129,NA,1.024,0.81,0.702,0.228,0.174,0.129,0
"64",272,"17NPRB027206S19S2",2017,6,"Female","3","mature",0.159,4.507,193,1.174,1.324,0.938,0.478,0.434,0.159,NA,1.174,1.324,0.938,0.478,0.434,0.159,0
"65",273,"17NPRB027305S19S3",2017,5,"Female","3","mature",0.257,4.229,186,1.835,1.205,0.61,0.322,0.257,NA,NA,1.835,1.205,0.61,0.322,0.257,0,0
"66",276,"17NPRB027603S19S6",2017,3,"Female","3","mature",0.645,4.531,192,2.167,1.719,0.645,NA,NA,NA,NA,2.167,1.719,0.645,0,0,0,0
"67",278,"17NPRB027805S19S8",2017,5,"Female","4","mature",0.207,4.995,194,1.911,1.565,0.83,0.482,0.207,NA,NA,1.911,1.565,0.83,0.482,0.207,0,0
"68",279,"17NPRB027906S19S9",2017,6,"Female","4","mature",0.26,4.458,215,1.635,1.323,0.667,0.349,0.224,0.26,NA,1.635,1.323,0.667,0.349,0.224,0.26,0
"69",280,"17NPRB028006S19S10",2017,6,"Female","4","mature",0.102,3.74,210,1.373,1.335,0.411,0.363,0.156,0.102,NA,1.373,1.335,0.411,0.363,0.156,0.102,0
"70",281,"17NPRB028106S19S11",2017,6,"Female","3","mature",0.157,4.019,204,1.55,1.176,0.497,0.401,0.238,0.157,NA,1.55,1.176,0.497,0.401,0.238,0.157,0
"71",282,"17NPRB028203S19S12",2017,3,"Female","3","mature",0.375,2.716,180,1.315,1.026,0.375,NA,NA,NA,NA,1.315,1.026,0.375,0,0,0,0
"72",284,"17NPRB028406S19S14",2017,6,"Female","3","mature",0.226,3.9,200,1.303,0.986,0.749,0.463,0.173,0.226,NA,1.303,0.986,0.749,0.463,0.173,0.226,0
"73",285,"17NPRB028503S19S15",2017,3,"Female","3","mature",0.661,3.986,179,1.674,1.651,0.661,NA,NA,NA,NA,1.674,1.651,0.661,0,0,0,0
"74",286,"17NPRB028603S20S1",2017,3,"Female","3","mature",0.353,4.53,198,2.226,1.951,0.353,NA,NA,NA,NA,2.226,1.951,0.353,0,0,0,0
"75",287,"17NPRB028704S20S2",2017,4,"Female","4","mature",0.481,4.335,193,1.906,1.011,0.937,0.481,NA,NA,NA,1.906,1.011,0.937,0.481,0,0,0
"76",288,"17NPRB028803S20S3",2017,3,"Female","3","mature",0.635,4.396,189,2.337,1.424,0.635,NA,NA,NA,NA,2.337,1.424,0.635,0,0,0,0
"77",292,"17NPRB029206S20S7",2017,6,"Female","4","mature",0.162,4.789,206,1.525,1.116,1.111,0.559,0.316,0.162,NA,1.525,1.116,1.111,0.559,0.316,0.162,0
"78",295,"17NPRB029505S20S10",2017,5,"Female","3","mature",0.421,4.144,202,1.674,0.976,0.678,0.395,0.421,NA,NA,1.674,0.976,0.678,0.395,0.421,0,0
"79",296,"17NPRB029606S20S11",2017,6,"Female","3","mature",0.216,4.641,196,1.66,1.473,0.503,0.587,0.202,0.216,NA,1.66,1.473,0.503,0.587,0.202,0.216,0
"80",297,"17NPRB029706S20S12",2017,6,"Female","4","mature",0.237,4.451,209,1.901,0.97,0.554,0.551,0.238,0.237,NA,1.901,0.97,0.554,0.551,0.238,0.237,0
"81",299,"17NPRB029904S20S14",2017,4,"Female","3","mature",0.576,4.253,211,2.264,0.895,0.518,0.576,NA,NA,NA,2.264,0.895,0.518,0.576,0,0,0
"82",302,"17NPRB030206S21S2",2017,6,"Female","3","mature",0.213,5.026,196,1.962,1.35,0.873,0.311,0.317,0.213,NA,1.962,1.35,0.873,0.311,0.317,0.213,0
"83",305,"17NPRB030506S21S5",2017,6,"Female","4","mature",0.149,5.61,211,1.802,1.845,0.772,0.465,0.577,0.149,NA,1.802,1.845,0.772,0.465,0.577,0.149,0
"84",310,"17NPRB031005S21S10",2017,5,"Female","4","mature",0.177,3.238,196,1.185,1.196,0.337,0.343,0.177,NA,NA,1.185,1.196,0.337,0.343,0.177,0,0
"85",312,"17NPRB031206S21S12",2017,6,"Female","3","mature",0.11,4.256,197,1.383,1.378,0.774,0.431,0.18,0.11,NA,1.383,1.378,0.774,0.431,0.18,0.11,0
"86",313,"17NPRB031306S21S13",2017,6,"Female","4","mature",0.289,5.799,221,2.076,1.857,0.825,0.379,0.373,0.289,NA,2.076,1.857,0.825,0.379,0.373,0.289,0
"87",318,"17NPRB031806S22S3",2017,6,"Female","4","mature",0.161,5.233,225,1.709,1.604,0.769,0.642,0.348,0.161,NA,1.709,1.604,0.769,0.642,0.348,0.161,0
"88",321,"17NPRB032106S22S6",2017,6,"Female","4","mature",0.246,4.751,191,1.471,1.716,0.793,0.29,0.235,0.246,NA,1.471,1.716,0.793,0.29,0.235,0.246,0
"89",323,"17NPRB032306S22S8",2017,6,"Female","3","mature",0.119,4.583,212,1.452,1.139,1.201,0.391,0.281,0.119,NA,1.452,1.139,1.201,0.391,0.281,0.119,0
"90",327,"17NPRB032706S22S12",2017,6,"Female","4","mature",0.235,5.334,219,1.903,1.746,0.856,0.398,0.196,0.235,NA,1.903,1.746,0.856,0.398,0.196,0.235,0
"91",331,"17NPRB033105S23S1",2017,5,"Female","3","mature",0.248,5.878,203,2.106,1.993,0.968,0.563,0.248,NA,NA,2.106,1.993,0.968,0.563,0.248,0,0
"92",332,"17NPRB033206S23S2",2017,6,"Female","3","mature",0.189,3.968,186,1.425,0.989,0.762,0.373,0.23,0.189,NA,1.425,0.989,0.762,0.373,0.23,0.189,0
