Year,AGE,SEX,LENGTH,CSW1,CSW2,CSW3,CSW4,CSW5,CSW6,CSW7,CSW8,CSW9,CSW10,CSW11,CSW12,CSW13,CSW14,CSW15
2016,02,1,160,2.4111,1.358,,,,,,,,,,,,,
2016,02,1,163,1.8057,2.0683,,,,,,,,,,,,,
2016,03,2,160,1.4501,1.7497,0.7638,,,,,,,,,,,,
2016,03,2,167,2.016,1.3348,0.7422,,,,,,,,,,,,
2016,03,2,175,1.5458,1.5819,0.9623,,,,,,,,,,,,
2016,03,2,164,1.7157,1.4406,0.5788,,,,,,,,,,,,
2016,03,2,169,2.0249,1.4644,0.7234,,,,,,,,,,,,
2016,03,2,167,2.179,1.3344,0.7465,,,,,,,,,,,,
2016,03,1,159,1.388,1.5518,0.3741,,,,,,,,,,,,
2016,03,1,160,1.8548,1.459,0.5695,,,,,,,,,,,,
2016,03,1,165,1.8059,1.5527,0.7912,,,,,,,,,,,,
2016,03,1,159,1.5842,1.3394,0.5789,,,,,,,,,,,,
2016,03,1,168,1.3327,1.7777,0.7262,,,,,,,,,,,,
2016,03,1,188,1.4031,1.9396,1.1862,,,,,,,,,,,,
2016,03,1,168,1.9459,1.6372,0.8417,,,,,,,,,,,,
2016,04,2,193,1.985,1.7559,0.824,0.6573,,,,,,,,,,,
2016,04,2,190,2.2522,1.7645,0.6484,0.2428,,,,,,,,,,,
2016,04,2,181,1.5456,1.6617,0.9916,0.3981,,,,,,,,,,,
2016,04,2,186,1.2569,1.7726,0.994,0.5624,,,,,,,,,,,
2016,04,2,197,2.2073,1.7878,0.9398,0.3583,,,,,,,,,,,
2016,04,2,186,1.8887,1.3018,1.2803,0.2057,,,,,,,,,,,
2016,04,2,189,2.072,1.9503,0.4187,0.4891,,,,,,,,,,,
2016,04,2,196,2.0005,1.6239,0.7298,0.1159,,,,,,,,,,,
2016,04,2,179,1.4992,2.2542,0.8512,0.1803,,,,,,,,,,,
2016,04,2,184,1.7271,1.6306,0.9207,0.3539,,,,,,,,,,,
2016,04,2,182,1.7626,1.7363,0.7712,0.4015,,,,,,,,,,,
2016,04,2,188,2.0804,1.313,0.7503,0.4099,,,,,,,,,,,
2016,04,2,173,1.8765,1.6663,0.6931,0.5958,,,,,,,,,,,
2016,04,2,210,2.1928,1.9748,0.6951,0.4333,,,,,,,,,,,
2016,04,2,186,1.9052,1.4998,0.6159,0.4399,,,,,,,,,,,
2016,04,2,174,1.636,1.2454,0.9227,0.495,,,,,,,,,,,
2016,04,2,194,1.73,1.664,0.9576,0.3234,,,,,,,,,,,
2016,04,2,178,1.7986,1.4746,0.7194,0.2925,,,,,,,,,,,
2016,04,2,186,1.751,1.33,0.8692,0.5002,,,,,,,,,,,
2016,04,2,198,1.8591,1.5406,0.875,0.5744,,,,,,,,,,,
2016,04,2,183,1.6049,0.9468,0.6753,0.3169,,,,,,,,,,,
2016,04,2,196,1.8597,1.7065,0.8622,0.2569,,,,,,,,,,,
2016,04,2,198,1.8397,1.5475,1.0161,0.4386,,,,,,,,,,,
2016,04,2,191,2.0014,1.9106,0.7956,0.3367,,,,,,,,,,,
2016,04,2,184,1.6899,1.2867,1.0168,0.5653,,,,,,,,,,,
2016,04,2,185,1.9635,1.2163,0.9221,0.4014,,,,,,,,,,,
2016,04,2,185,1.4226,1.3075,0.6585,0.3184,,,,,,,,,,,
2016,04,2,195,1.6236,1.6948,1.1642,0.4214,,,,,,,,,,,
