"","sample_no","image_name","year","age","sex_histology","maturation_status_histology","maturity","anu_adj","radcap","length_mm","length_prior","Increment1","Increment2","Increment3","Increment4","Increment5","Increment6","Increment7","anu1","anu2","anu3","anu4","anu5","anu6","anu7","rad1","rad2","rad3","rad4","rad5","rad6","rad7"
"157",616,"17NPRB061602S43S9",2017,"2","Female","1","immature",1.176,2.845,141,1.669,1.669,1.176,NA,NA,NA,NA,NA,1.669,1.176,0,0,0,0,0,1.669,2.845,2.845,2.845,2.845,2.845,2.845
"158",617,"17NPRB061702S43S10",2017,"2","Female","1","immature",0.846,2.83,155,1.984,1.984,0.846,NA,NA,NA,NA,NA,1.984,0.846,0,0,0,0,0,1.984,2.83,2.83,2.83,2.83,2.83,2.83
"159",625,"17NPRB062502S44S3",2017,"2","Female","1","immature",1.121,2.61,134,1.489,1.489,1.121,NA,NA,NA,NA,NA,1.489,1.121,0,0,0,0,0,1.489,2.61,2.61,2.61,2.61,2.61,2.61
"160",626,"17NPRB062602S44S4",2017,"2","Female","1","immature",1.322,3.145,140,1.823,1.823,1.322,NA,NA,NA,NA,NA,1.823,1.322,0,0,0,0,0,1.823,3.145,3.145,3.145,3.145,3.145,3.145
"161",628,"17NPRB062802S44S6",2017,"2","Female","1","immature",1.688,3.408,137,1.72,1.72,1.688,NA,NA,NA,NA,NA,1.72,1.688,0,0,0,0,0,1.72,3.408,3.408,3.408,3.408,3.408,3.408
"162",632,"17NPRB063202S44S10",2017,"2","Female","1","immature",1.632,4.26,179,2.628,2.628,1.632,NA,NA,NA,NA,NA,2.628,1.632,0,0,0,0,0,2.628,4.26,4.26,4.26,4.26,4.26,4.26
"163",634,"17NPRB063402S44S12",2017,"2","Female","1","immature",1.245,3.257,141,2.012,2.012,1.245,NA,NA,NA,NA,NA,2.012,1.245,0,0,0,0,0,2.012,3.257,3.257,3.257,3.257,3.257,3.257
"164",636,"17NPRB063602S44S14",2017,"2","Female","1","immature",1.504,3.311,144,1.807,1.807,1.504,NA,NA,NA,NA,NA,1.807,1.504,0,0,0,0,0,1.807,3.311,3.311,3.311,3.311,3.311,3.311
"165",637,"17NPRB063702S44S15",2017,"2","Female","1","immature",1.265,3.31,147,2.045,2.045,1.265,NA,NA,NA,NA,NA,2.045,1.265,0,0,0,0,0,2.045,3.31,3.31,3.31,3.31,3.31,3.31
"166",638,"17NPRB063803S45S1",2017,"3","Female","1","immature",0.208,2.189,160,1.981,1.234,0.747,0.208,NA,NA,NA,NA,1.234,0.747,0.208,0,0,0,0,1.234,1.981,2.189,2.189,2.189,2.189,2.189
"167",639,"17NPRB063902S45S2",2017,"2","Female","1","immature",1.183,3.492,157,2.309,2.309,1.183,NA,NA,NA,NA,NA,2.309,1.183,0,0,0,0,0,2.309,3.492,3.492,3.492,3.492,3.492,3.492
"168",640,"17NPRB064002S45S3",2017,"2","Female","1","immature",0.998,2.869,145,1.871,1.871,0.998,NA,NA,NA,NA,NA,1.871,0.998,0,0,0,0,0,1.871,2.869,2.869,2.869,2.869,2.869,2.869
"169",642,"17NPRB064202S45S5",2017,"2","Female","1","immature",1.453,3.254,141,1.801,1.801,1.453,NA,NA,NA,NA,NA,1.801,1.453,0,0,0,0,0,1.801,3.254,3.254,3.254,3.254,3.254,3.254
"170",645,"17NPRB064502S45S8",2017,"2","Female","1","immature",1.452,3.092,140,1.64,1.64,1.452,NA,NA,NA,NA,NA,1.64,1.452,0,0,0,0,0,1.64,3.092,3.092,3.092,3.092,3.092,3.092
"171",647,"17NPRB064702S45S10",2017,"2","Female","1","immature",1.452,2.966,134,1.514,1.514,1.452,NA,NA,NA,NA,NA,1.514,1.452,0,0,0,0,0,1.514,2.966,2.966,2.966,2.966,2.966,2.966
"172",648,"17NPRB064802S45S11",2017,"2","Female","1","immature",1.317,4.009,152,2.692,2.692,1.317,NA,NA,NA,NA,NA,2.692,1.317,0,0,0,0,0,2.692,4.009,4.009,4.009,4.009,4.009,4.009
"173",650,"17NPRB065002S45S13",2017,"2","Female","1","immature",1.048,3.411,149,2.363,2.363,1.048,NA,NA,NA,NA,NA,2.363,1.048,0,0,0,0,0,2.363,3.411,3.411,3.411,3.411,3.411,3.411
"174",651,"17NPRB065102S45S14",2017,"2","Female","1","immature",1.511,3.551,149,2.04,2.04,1.511,NA,NA,NA,NA,NA,2.04,1.511,0,0,0,0,0,2.04,3.551,3.551,3.551,3.551,3.551,3.551
"175",654,"17NPRB065402S46S2",2017,"2","Female","1","immature",1.321,3.703,156,2.382,2.382,1.321,NA,NA,NA,NA,NA,2.382,1.321,0,0,0,0,0,2.382,3.703,3.703,3.703,3.703,3.703,3.703
"176",656,"17NPRB065602S46S4",2017,"2","Female","1","immature",1.225,3.013,151,1.788,1.788,1.225,NA,NA,NA,NA,NA,1.788,1.225,0,0,0,0,0,1.788,3.013,3.013,3.013,3.013,3.013,3.013
"177",658,"17NPRB065802S46S6",2017,"2","Female","1","immature",1.408,3.401,153,1.993,1.993,1.408,NA,NA,NA,NA,NA,1.993,1.408,0,0,0,0,0,1.993,3.401,3.401,3.401,3.401,3.401,3.401
"178",661,"17NPRB066102S46S9",2017,"2","Female","1","immature",1.298,3.346,131,2.048,2.048,1.298,NA,NA,NA,NA,NA,2.048,1.298,0,0,0,0,0,2.048,3.346,3.346,3.346,3.346,3.346,3.346
"179",662,"17NPRB066202S46S10",2017,"2","Female","1","immature",1.252,3.709,155,2.457,2.457,1.252,NA,NA,NA,NA,NA,2.457,1.252,0,0,0,0,0,2.457,3.709,3.709,3.709,3.709,3.709,3.709
"180",668,"17NPRB066802S47S1",2017,"2","Female","2","mature",0.842,2.382,136,1.54,1.54,0.842,NA,NA,NA,NA,NA,1.54,0.842,0,0,0,0,0,1.54,2.382,2.382,2.382,2.382,2.382,2.382
"181",670,"17NPRB067002S47S3",2017,"2","Female","2","mature",1.215,3.316,162,2.101,2.101,1.215,NA,NA,NA,NA,NA,2.101,1.215,0,0,0,0,0,2.101,3.316,3.316,3.316,3.316,3.316,3.316
"182",671,"17NPRB067103S47S4",2017,"3","Female","1","immature",0.717,3.719,175,3.002,1.794,1.208,0.717,NA,NA,NA,NA,1.794,1.208,0.717,0,0,0,0,1.794,3.002,3.719,3.719,3.719,3.719,3.719
"183",685,"17NPRB068502S48S3",2017,"2","Female","2","mature",0.931,2.615,160,1.684,1.684,0.931,NA,NA,NA,NA,NA,1.684,0.931,0,0,0,0,0,1.684,2.615,2.615,2.615,2.615,2.615,2.615
"184",691,"17NPRB069102S48S9",2017,"2","Female","2","mature",1.329,3.498,164,2.169,2.169,1.329,NA,NA,NA,NA,NA,2.169,1.329,0,0,0,0,0,2.169,3.498,3.498,3.498,3.498,3.498,3.498
"185",695,"17NPRB069503S48S13",2017,"3","Female","1","immature",0.471,3.963,160,3.492,2.543,0.949,0.471,NA,NA,NA,NA,2.543,0.949,0.471,0,0,0,0,2.543,3.492,3.963,3.963,3.963,3.963,3.963
"186",696,"17NPRB069602S48S14",2017,"2","Female","1","immature",1.292,3.087,149,1.795,1.795,1.292,NA,NA,NA,NA,NA,1.795,1.292,0,0,0,0,0,1.795,3.087,3.087,3.087,3.087,3.087,3.087
"187",701,"17NPRB070103S49S4",2017,"3","Female","1","immature",0.591,3.421,152,2.83,1.476,1.354,0.591,NA,NA,NA,NA,1.476,1.354,0.591,0,0,0,0,1.476,2.83,3.421,3.421,3.421,3.421,3.421
"188",704,"17NPRB070403S49S7",2017,"3","Female","3","mature",0.439,3.28,181,2.841,1.569,1.272,0.439,NA,NA,NA,NA,1.569,1.272,0.439,0,0,0,0,1.569,2.841,3.28,3.28,3.28,3.28,3.28
"189",705,"17NPRB070503S49S8",2017,"3","Female","1","immature",0.666,4.091,180,3.425,1.698,1.727,0.666,NA,NA,NA,NA,1.698,1.727,0.666,0,0,0,0,1.698,3.425,4.091,4.091,4.091,4.091,4.091
"190",708,"17NPRB070803S49S11",2017,"3","Female","2","mature",0.507,3.786,167,3.279,1.865,1.414,0.507,NA,NA,NA,NA,1.865,1.414,0.507,0,0,0,0,1.865,3.279,3.786,3.786,3.786,3.786,3.786
"191",711,"17NPRB071102S49S14",2017,"2","Female","2","mature",1.213,3.12,157,1.907,1.907,1.213,NA,NA,NA,NA,NA,1.907,1.213,0,0,0,0,0,1.907,3.12,3.12,3.12,3.12,3.12,3.12
"192",712,"17NPRB071203S49S15",2017,"3","Female","1","immature",0.728,3.054,166,2.326,1.06,1.266,0.728,NA,NA,NA,NA,1.06,1.266,0.728,0,0,0,0,1.06,2.326,3.054,3.054,3.054,3.054,3.054
"193",715,"17NPRB071503S50S3",2017,"3","Female","1","immature",0.662,3.922,171,3.26,1.895,1.365,0.662,NA,NA,NA,NA,1.895,1.365,0.662,0,0,0,0,1.895,3.26,3.922,3.922,3.922,3.922,3.922
"194",716,"17NPRB071603S50S4",2017,"3","Female","1","immature",0.795,4.829,185,4.034,2.579,1.455,0.795,NA,NA,NA,NA,2.579,1.455,0.795,0,0,0,0,2.579,4.034,4.829,4.829,4.829,4.829,4.829
"195",724,"17NPRB072403S50S12",2017,"3","Female","3","mature",0.823,3.565,166,2.742,1.634,1.108,0.823,NA,NA,NA,NA,1.634,1.108,0.823,0,0,0,0,1.634,2.742,3.565,3.565,3.565,3.565,3.565
"196",727,"17NPRB072703S50S15",2017,"3","Female","3","mature",0.9,4.435,177,3.535,2.048,1.487,0.9,NA,NA,NA,NA,2.048,1.487,0.9,0,0,0,0,2.048,3.535,4.435,4.435,4.435,4.435,4.435
"197",728,"17NPRB072803S51S1",2017,"3","Female","1","immature",0.588,4.075,173,3.487,1.819,1.668,0.588,NA,NA,NA,NA,1.819,1.668,0.588,0,0,0,0,1.819,3.487,4.075,4.075,4.075,4.075,4.075
"198",731,"17NPRB073103S51S4",2017,"3","Female","1","immature",0.289,3.986,176,3.697,1.886,1.811,0.289,NA,NA,NA,NA,1.886,1.811,0.289,0,0,0,0,1.886,3.697,3.986,3.986,3.986,3.986,3.986
"199",732,"17NPRB073203S51S5",2017,"3","Female","1","immature",0.68,3.677,159,2.997,1.649,1.348,0.68,NA,NA,NA,NA,1.649,1.348,0.68,0,0,0,0,1.649,2.997,3.677,3.677,3.677,3.677,3.677
"200",733,"17NPRB073303S51S6",2017,"3","Female","1","immature",0.461,3.306,173,2.845,1.454,1.391,0.461,NA,NA,NA,NA,1.454,1.391,0.461,0,0,0,0,1.454,2.845,3.306,3.306,3.306,3.306,3.306
"201",734,"17NPRB073403S51S7",2017,"3","Female","1","immature",0.833,3.644,179,2.811,1.48,1.331,0.833,NA,NA,NA,NA,1.48,1.331,0.833,0,0,0,0,1.48,2.811,3.644,3.644,3.644,3.644,3.644
"202",736,"17NPRB073603S51S9",2017,"3","Female","1","immature",0.68,3.819,179,3.139,1.504,1.635,0.68,NA,NA,NA,NA,1.504,1.635,0.68,0,0,0,0,1.504,3.139,3.819,3.819,3.819,3.819,3.819
"203",737,"17NPRB073703S51S10",2017,"3","Female","1","immature",0.77,4.348,182,3.578,2.037,1.541,0.77,NA,NA,NA,NA,2.037,1.541,0.77,0,0,0,0,2.037,3.578,4.348,4.348,4.348,4.348,4.348
"204",738,"17NPRB073803S51S11",2017,"3","Female","1","immature",0.615,4.298,168,3.683,1.95,1.733,0.615,NA,NA,NA,NA,1.95,1.733,0.615,0,0,0,0,1.95,3.683,4.298,4.298,4.298,4.298,4.298
"205",740,"17NPRB074003S51S13",2017,"3","Female","3","mature",0.601,3.081,170,2.48,1.388,1.092,0.601,NA,NA,NA,NA,1.388,1.092,0.601,0,0,0,0,1.388,2.48,3.081,3.081,3.081,3.081,3.081
"206",742,"17NPRB074203S51S15",2017,"3","Female","1","immature",0.493,3.372,164,2.879,1.46,1.419,0.493,NA,NA,NA,NA,1.46,1.419,0.493,0,0,0,0,1.46,2.879,3.372,3.372,3.372,3.372,3.372
"207",749,"17NPRB074903S52S7",2017,"3","Female","2","mature",0.543,3.54,183,2.997,1.824,1.173,0.543,NA,NA,NA,NA,1.824,1.173,0.543,0,0,0,0,1.824,2.997,3.54,3.54,3.54,3.54,3.54
"208",752,"17NPRB075203S52S10",2017,"3","Female","1","immature",0.855,4.428,174,3.573,1.491,2.082,0.855,NA,NA,NA,NA,1.491,2.082,0.855,0,0,0,0,1.491,3.573,4.428,4.428,4.428,4.428,4.428
"209",753,"17NPRB075303S52S11",2017,"3","Female","1","immature",0.624,3.243,162,2.619,1.679,0.94,0.624,NA,NA,NA,NA,1.679,0.94,0.624,0,0,0,0,1.679,2.619,3.243,3.243,3.243,3.243,3.243
"210",756,"17NPRB075603S52S14",2017,"3","Female","2","mature",0.499,3.792,179,3.293,1.932,1.361,0.499,NA,NA,NA,NA,1.932,1.361,0.499,0,0,0,0,1.932,3.293,3.792,3.792,3.792,3.792,3.792
