"","sample_no","image_name","year","age","sex_histology","maturation_status_histology","maturity","anu_adj","radcap","length_mm","length_prior","Increment1","Increment2","Increment3","Increment4","Increment5","Increment6","Increment7","anu1","anu2","anu3","anu4","anu5","anu6","anu7","rad1","rad2","rad3","rad4","rad5","rad6","rad7"
"74",286,"17NPRB028603S20S1",2017,"3","Female","3","mature",0.353,4.53,198,4.177,2.226,1.951,0.353,NA,NA,NA,NA,2.226,1.951,0.353,0,0,0,0,2.226,4.177,4.53,4.53,4.53,4.53,4.53
"75",287,"17NPRB028704S20S2",2017,"4","Female","4","mature",0.481,4.335,193,3.854,1.906,1.011,0.937,0.481,NA,NA,NA,1.906,1.011,0.937,0.481,0,0,0,1.906,2.917,3.854,4.335,4.335,4.335,4.335
"76",288,"17NPRB028803S20S3",2017,"3","Female","3","mature",0.635,4.396,189,3.761,2.337,1.424,0.635,NA,NA,NA,NA,2.337,1.424,0.635,0,0,0,0,2.337,3.761,4.396,4.396,4.396,4.396,4.396
"77",292,"17NPRB029206S20S7",2017,"6","Female","4","mature",0.162,4.789,206,4.627,1.525,1.116,1.111,0.559,0.316,0.162,NA,1.525,1.116,1.111,0.559,0.316,0.162,0,1.525,2.641,3.752,4.311,4.627,4.789,4.789
"78",295,"17NPRB029505S20S10",2017,"5","Female","3","mature",0.421,4.144,202,3.723,1.674,0.976,0.678,0.395,0.421,NA,NA,1.674,0.976,0.678,0.395,0.421,0,0,1.674,2.65,3.328,3.723,4.144,4.144,4.144
"79",296,"17NPRB029606S20S11",2017,"6","Female","3","mature",0.216,4.641,196,4.425,1.66,1.473,0.503,0.587,0.202,0.216,NA,1.66,1.473,0.503,0.587,0.202,0.216,0,1.66,3.133,3.636,4.223,4.425,4.641,4.641
"80",297,"17NPRB029706S20S12",2017,"6","Female","4","mature",0.237,4.451,209,4.214,1.901,0.97,0.554,0.551,0.238,0.237,NA,1.901,0.97,0.554,0.551,0.238,0.237,0,1.901,2.871,3.425,3.976,4.214,4.451,4.451
"81",299,"17NPRB029904S20S14",2017,"4","Female","3","mature",0.576,4.253,211,3.677,2.264,0.895,0.518,0.576,NA,NA,NA,2.264,0.895,0.518,0.576,0,0,0,2.264,3.159,3.677,4.253,4.253,4.253,4.253
"82",302,"17NPRB030206S21S2",2017,"6","Female","3","mature",0.213,5.026,196,4.813,1.962,1.35,0.873,0.311,0.317,0.213,NA,1.962,1.35,0.873,0.311,0.317,0.213,0,1.962,3.312,4.185,4.496,4.813,5.026,5.026
"83",305,"17NPRB030506S21S5",2017,"6","Female","4","mature",0.149,5.61,211,5.461,1.802,1.845,0.772,0.465,0.577,0.149,NA,1.802,1.845,0.772,0.465,0.577,0.149,0,1.802,3.647,4.419,4.884,5.461,5.61,5.61
"84",310,"17NPRB031005S21S10",2017,"5","Female","4","mature",0.177,3.238,196,3.061,1.185,1.196,0.337,0.343,0.177,NA,NA,1.185,1.196,0.337,0.343,0.177,0,0,1.185,2.381,2.718,3.061,3.238,3.238,3.238
"85",312,"17NPRB031206S21S12",2017,"6","Female","3","mature",0.11,4.256,197,4.146,1.383,1.378,0.774,0.431,0.18,0.11,NA,1.383,1.378,0.774,0.431,0.18,0.11,0,1.383,2.761,3.535,3.966,4.146,4.256,4.256
"86",313,"17NPRB031306S21S13",2017,"6","Female","4","mature",0.289,5.799,221,5.51,2.076,1.857,0.825,0.379,0.373,0.289,NA,2.076,1.857,0.825,0.379,0.373,0.289,0,2.076,3.933,4.758,5.137,5.51,5.799,5.799
"87",318,"17NPRB031806S22S3",2017,"6","Female","4","mature",0.161,5.233,225,5.072,1.709,1.604,0.769,0.642,0.348,0.161,NA,1.709,1.604,0.769,0.642,0.348,0.161,0,1.709,3.313,4.082,4.724,5.072,5.233,5.233
"88",321,"17NPRB032106S22S6",2017,"6","Female","4","mature",0.246,4.751,191,4.505,1.471,1.716,0.793,0.29,0.235,0.246,NA,1.471,1.716,0.793,0.29,0.235,0.246,0,1.471,3.187,3.98,4.27,4.505,4.751,4.751
"89",323,"17NPRB032306S22S8",2017,"6","Female","3","mature",0.119,4.583,212,4.464,1.452,1.139,1.201,0.391,0.281,0.119,NA,1.452,1.139,1.201,0.391,0.281,0.119,0,1.452,2.591,3.792,4.183,4.464,4.583,4.583
"90",327,"17NPRB032706S22S12",2017,"6","Female","4","mature",0.235,5.334,219,5.099,1.903,1.746,0.856,0.398,0.196,0.235,NA,1.903,1.746,0.856,0.398,0.196,0.235,0,1.903,3.649,4.505,4.903,5.099,5.334,5.334
"91",331,"17NPRB033105S23S1",2017,"5","Female","3","mature",0.248,5.878,203,5.63,2.106,1.993,0.968,0.563,0.248,NA,NA,2.106,1.993,0.968,0.563,0.248,0,0,2.106,4.099,5.067,5.63,5.878,5.878,5.878
"92",332,"17NPRB033206S23S2",2017,"6","Female","3","mature",0.189,3.968,186,3.779,1.425,0.989,0.762,0.373,0.23,0.189,NA,1.425,0.989,0.762,0.373,0.23,0.189,0,1.425,2.414,3.176,3.549,3.779,3.968,3.968
"93",339,"17NPRB033905S23S9",2017,"5","Female","3","mature",0.148,4.388,204.12,4.24,1.699,1.495,0.861,0.185,0.148,NA,NA,1.699,1.495,0.861,0.185,0.148,0,0,1.699,3.194,4.055,4.24,4.388,4.388,4.388
"94",340,"17NPRB034005S23S10",2017,"5","Female","4","mature",0.186,3.882,203,3.696,1.734,0.997,0.672,0.293,0.186,NA,NA,1.734,0.997,0.672,0.293,0.186,0,0,1.734,2.731,3.403,3.696,3.882,3.882,3.882
"95",341,"17NPRB034106S23S11",2017,"6","Female","4","mature",0.141,5.043,211,4.902,1.827,1.137,0.97,0.555,0.413,0.141,NA,1.827,1.137,0.97,0.555,0.413,0.141,0,1.827,2.964,3.934,4.489,4.902,5.043,5.043
"96",343,"17NPRB034305S23S13",2017,"5","Female","3","mature",0.069,3.985,198,3.916,1.536,1.164,0.767,0.449,0.069,NA,NA,1.536,1.164,0.767,0.449,0.069,0,0,1.536,2.7,3.467,3.916,3.985,3.985,3.985
"97",345,"17NPRB034505S23S15",2017,"5","Female","3","mature",0.268,3.974,211,3.706,1.848,1.195,0.404,0.259,0.268,NA,NA,1.848,1.195,0.404,0.259,0.268,0,0,1.848,3.043,3.447,3.706,3.974,3.974,3.974
"98",346,"17NPRB034606S24S1",2017,"6","Female","3","mature",0.152,3.902,183,3.75,1.442,1.052,0.621,0.35,0.285,0.152,NA,1.442,1.052,0.621,0.35,0.285,0.152,0,1.442,2.494,3.115,3.465,3.75,3.902,3.902
"99",355,"17NPRB035506S24S10",2017,"6","Female","4","mature",0.17,4.765,218,4.595,1.627,1.365,0.89,0.33,0.383,0.17,NA,1.627,1.365,0.89,0.33,0.383,0.17,0,1.627,2.992,3.882,4.212,4.595,4.765,4.765
"100",362,"17NPRB036202S25S2",2017,"2","Female","1","immature",1.349,3.143,150.57,1.794,1.794,1.349,NA,NA,NA,NA,NA,1.794,1.349,0,0,0,0,0,1.794,3.143,3.143,3.143,3.143,3.143,3.143
