"","sample_no","age","maturation_status_histology","maturity","anu_adj","radcap","length_mm","scale_length_prior"
"1",2,"4","4","mature",0.297,794.753,200,794.456
"2",3,"6","4","mature",0.101,794.753,211,794.652
"3",4,"4","4","mature",0.343,794.753,208,794.41
"4",9,"6","4","mature",0.159,794.753,219,794.594
"5",16,"3","4","mature",0.501,794.753,180,794.252
"6",18,"4","3","mature",0.169,794.753,180,794.584
"7",19,"4","3","mature",0.386,794.753,191,794.367
"8",20,"4","3","mature",0.27,794.753,180,794.483
"9",25,"3","3","mature",0.528,794.753,173,794.225
"10",28,"4","3","mature",0.179,794.753,183,794.574
"11",31,"4","4","mature",0.521,794.753,185,794.232
"12",45,"3","3","mature",0.667,794.753,194,794.086
"13",73,"4","3","mature",0.215,794.753,192,794.538
"14",84,"4","3","mature",0.333,794.753,184,794.42
"15",102,"4","3","mature",0.538,794.753,188,794.215
"16",129,"4","3","mature",0.328,794.753,204,794.425
"17",134,"4","4","mature",0.601,794.753,192,794.152
"18",135,"3","3","mature",0.365,794.753,170,794.388
"19",142,"4","4","mature",0.172,794.753,204,794.581
"20",144,"4","3","mature",0.253,794.753,187,794.5
"21",145,"3","3","mature",0.427,794.753,181,794.326
"22",150,"4","3","mature",0.288,794.753,177,794.465
"23",154,"4","3","mature",0.435,794.753,196,794.318
"24",156,"4","4","mature",0.43,794.753,202,794.323
"25",157,"3","3","mature",0.677,794.753,185,794.076
"26",167,"4","4","mature",0.391,794.753,197,794.362
"27",176,"6","4","mature",0.192,794.753,183,794.561
"28",180,"3","3","mature",0.759,794.753,183,793.994
"29",181,"4","4","mature",0.369,794.753,202,794.384
"30",188,"4","3","mature",0.408,794.753,195,794.345
"31",190,"6","5","mature",0.265,794.753,197,794.488
"32",191,"4","3","mature",0.276,794.753,195,794.477
"33",194,"4","4","mature",0.342,794.753,189,794.411
"34",196,"4","3","mature",0.308,794.753,180,794.445
"35",197,"4","3","mature",0.746,794.753,194,794.007
"36",200,"3","3","mature",0.556,794.753,183,794.197
"37",202,"3","3","mature",0.576,794.753,190,794.177
"38",204,"4","3","mature",0.284,794.753,195,794.469
"39",212,"6","4","mature",0.077,794.753,221,794.676
"40",216,"3","3","mature",0.46,794.753,189,794.293
"41",218,"3","4","mature",0.277,794.753,188,794.476
"42",220,"4","3","mature",0.191,794.753,186,794.562
"43",223,"6","4","mature",0.126,794.753,207,794.627
"44",227,"4","3","mature",0.331,794.753,193,794.422
"45",229,"4","4","mature",0.32,794.753,200,794.433
"46",233,"6","4","mature",0.071,794.753,204,794.682
"47",234,"4","4","mature",0.169,794.753,195,794.584
"48",235,"3","3","mature",0.484,794.753,189,794.269
"49",239,"4","3","mature",0.564,794.753,197,794.189
"50",244,"5","4","mature",0.315,794.753,194,794.438
"51",245,"4","2","mature",0.411,794.753,179,794.342
"52",247,"4","3","mature",0.523,794.753,196,794.23
"53",248,"6","3","mature",0.156,794.753,196,794.597
"54",249,"3","4","mature",0.568,794.753,182,794.185
"55",255,"3","3","mature",0.577,794.753,193,794.176
"56",257,"4","3","mature",0.283,794.753,192,794.47
"57",258,"3","4","mature",0.594,794.753,177,794.159
"58",259,"6","5","mature",0.141,794.753,211,794.612
"59",262,"4","3","mature",0.228,794.753,187,794.525
"60",264,"4","3","mature",0.607,794.753,200,794.146
"61",266,"5","3","mature",0.332,794.753,186,794.421
"62",268,"4","4","mature",0.325,794.753,206,794.428
"63",270,"6","4","mature",0.129,794.753,191,794.624
