year,season,season_ref,project_code,sample_no,sample_type_code,sample_type,catch_date,spawning_stock_code,spawning_stock,district,sub_district,area_description,latitude_decimal_degrees,longitude_decimal_degrees,vessel_name,ADFG_no,gear_code,gear,tow_no,fishery_State,spawning_stage,sample_comments,silde_no,speciment_no,sex_code,length_mm,weight_grams,age,scale_condition_code,specimen_comments,image_name,scale_region,scale_shape,scale_replicate,sex_histology,maturation_status_histology,histology_notes,maturity_state_field,gonad_weight_grams,GSI,maturity_state_GSI,maturity_state_Hjort,maturity_state_histology,Notes
2017,Oct2017 - Sep18,12-Nov,1,344,4,Select,10/25/2017,27,Sitka Sound,113,41,Sitka Sound South,57.01916667,-135.3496167,Pacific Predator,77440,1,Purse Seine,,Pre-season,Pre-spawn,NPRB Maturity Study ,23,14,1,160,53.8,2,1,,17NPRB034402S23S14,A,ROUND,1,Male,1,,1,0,0,I,I,I,maybe a male; 0.0 on scale
2017,Oct2017 - Sep18,12-Nov,1,348,4,Select,10/25/2017,27,Sitka Sound,113,41,Sitka Sound South,57.01916667,-135.3496167,Pacific Predator,77440,1,Purse Seine,,Pre-season,Pre-spawn,NPRB Maturity Study ,24,3,1,155,45.3,2,2,,17NPRB034802S24S3,A,SQUISHED,1,Male,1,,1,0,0,I,I,I,started counting age-2 fish; actually 0.0 grams
2017,Oct2017 - Sep18,12-Nov,1,371,4,Select,10/25/2017,27,Sitka Sound,113,41,Sitka Sound South,57.01916667,-135.3496167,Pacific Predator,77440,1,Purse Seine,,Pre-season,Pre-spawn,NPRB Maturity Study ,25,11,1,131,30,2,3,,17NPRB037102S25S11,A,OTHER,1,Male,1,,1,0,0,I,I,I,actually 0.0 gonad weight; 
2017,Oct2017 - Sep18,12-Nov,1,373,4,Select,10/25/2017,27,Sitka Sound,113,41,Sitka Sound South,57.01916667,-135.3496167,Pacific Predator,77440,1,Purse Seine,,Pre-season,Pre-spawn,NPRB Maturity Study ,25,13,1,137,34.9,NA,0,,NA,NA,NA,NA,Male,1,,1,0,0,I,I,I,actually 0.0 gonad weight; 
2017,Oct2017 - Sep18,12-Nov,1,382,4,Select,10/25/2017,27,Sitka Sound,113,41,Sitka Sound South,57.01916667,-135.3496167,Pacific Predator,77440,1,Purse Seine,,Pre-season,Pre-spawn,NPRB Maturity Study ,26,7,1,126,27.9,2,1,,17NPRB038202S26S7,A,SQUISHED,1,Male,1,,1,0,0,I,I,I,actually 0.0 gonad weight; 
2017,Oct2017 - Sep18,12-Nov,1,387,4,Select,10/25/2017,27,Sitka Sound,113,41,Sitka Sound South,57.01916667,-135.3496167,Pacific Predator,77440,1,Purse Seine,,Pre-season,Pre-spawn,NPRB Maturity Study ,26,12,1,127,26.7,2,2,,17NPRB038702S26S12,A,SQUISHED,1,Male,1,,1,0,0,I,I,I,actually 0.0 gonad weight; 
2017,Oct2017 - Sep18,12-Nov,1,434,4,Select,10/31/2017,27,Sitka Sound,113,41,Sitka Sound South,57.02226667,-135.29325,Pacific Predator,77440,1,Purse Seine,,Pre-season,Pre-spawn,NPRB Maturity Study ,30,9,1,138,32.3,2,1,,17NPRB043402S30S9,A,ROUND,1,Male,1,small section,1,0,0,I,I,I,actually 0.0g gonad weight
2017,Oct2017 - Sep18,12-Nov,1,441,4,Select,10/31/2017,27,Sitka Sound,113,41,Sitka Sound South,57.02226667,-135.29325,Pacific Predator,77440,1,Purse Seine,,Pre-season,Pre-spawn,NPRB Maturity Study ,31,1,1,159,47.6,2,1,,17NPRB044102S31S1,A,ROUND,1,Male,1,,1,0,0,I,I,I,actually 0.0g gonad weight
2017,Oct2017 - Sep18,12-Nov,1,442,4,Select,10/31/2017,27,Sitka Sound,113,41,Sitka Sound South,57.02226667,-135.29325,Pacific Predator,77440,1,Purse Seine,,Pre-season,Pre-spawn,NPRB Maturity Study ,31,2,1,171,58.7,2,2,,17NPRB044202S31S2,B,SQUISHED,1,Male,1,,1,0,0,I,I,I,actually 0.0g gonad weight
2017,Oct2017 - Sep18,12-Nov,1,443,4,Select,10/31/2017,27,Sitka Sound,113,41,Sitka Sound South,57.02226667,-135.29325,Pacific Predator,77440,1,Purse Seine,,Pre-season,Pre-spawn,NPRB Maturity Study ,31,3,1,156,48.8,2,2,,17NPRB044302S31S3,A,ROUND,1,Male,1,,1,0,0,I,I,I,actually 0.0g gonad weight
