image_name,Increment1 ,Increment2,Increment3,Increment4,Increment5,Increment6,Increment7
17NPRB000104S1S1,0.989,0.636,0.095,,,,
17NPRB000204S1S2,1.976,0.73,0.281,0.297,,,
17NPRB000306S1S3,1.597,1.451,0.57,0.509,0.325,0.101,
17NPRB000404S1S4,1.952,1.249,0.656,0.343,,,
17NPRB000604S1S6,1.946,1.028,0.457,0.122,,,
17NPRB000703S1S7,1.469,0.788,0.351,,,,
17NPRB000803S1S8,0.859,1.061,0.653,,,,
17NPRB000906S1S9,1.859,1.262,0.831,0.561,0.59,0.159,
17NPRB001006S1S10,1.883,1.359,0.963,0.496,0.401,0.384,
17NPRB001204S1S12,1.989,1.248,0.818,0.369,,,
17NPRB001305S1S13,1.579,1.081,0.655,0.315,0.156,,
17NPRB001503S1S15,2.029,1.249,0.466,,,,
17NPRB001603S2S1,1.471,0.9,0.501,,,,
17NPRB001705S2S2,1.06,1.292,0.703,0.394,0.233,,
17NPRB001804S2S3,1.253,1.077,0.518,0.169,,,
17NPRB001904S2S4,1.68,1.297,0.62,0.386,,,
17NPRB002004S2S5,1.247,0.916,0.565,0.27,,,
17NPRB002206S2S7,1.249,1.075,0.565,0.267,0.238,0.146,
17NPRB002303S2S8,1.539,0.911,0.37,,,,
17NPRB002503S2S10,1.436,0.793,0.528,,,,
17NPRB002604S2S11,1.668,1.05,0.49,0.264,,,
17NPRB002804S2S13,0.959,0.972,0.354,0.179,,,
17NPRB002906S2S14,1.537,0.983,0.718,0.207,0.22,0.147,
17NPRB003104S3S1,0.883,1.382,0.521,,,,
17NPRB003204S3S2,1.301,1.089,0.522,0.172,,,
17NPRB003304S3S3,0.998,0.819,0.379,0.224,,,
17NPRB003403S3S4,0.661,0.607,0.288,,,,
17NPRB003504S3S5,2.022,1.325,0.595,0.366,,,
17NPRB003604S3S6,1.97,1.028,0.465,0.291,,,
17NPRB003703S3S7,1.302,0.993,0.241,,,,
17NPRB003906S3S9,2.017,1.229,0.556,0.233,0.362,0.096,
17NPRB004005S3S10,1.716,1.4,0.54,0.355,0.355,,
17NPRB004204S3S12,2.365,1.422,0.674,0.396,,,
17NPRB004403S3S14,1.29,0.796,0.397,,,,
17NPRB004503S3S15,1.752,0.918,0.667,,,,
17NPRB004604S4S1,1.842,1.264,0.68,0.357,,,
17NPRB004704S4S2,1.355,1.322,0.735,0.28,,,
17NPRB004803S4S3,1.077,0.692,0.419,,,,
17NPRB004904S4S4,1.519,1.088,0.426,0.294,,,
17NPRB005004S4S5,2.24,1.304,0.921,0.324,,,
17NPRB005106S4S6,1.714,1.459,0.569,0.441,0.379,0.176,
17NPRB005204S4S7,1.57,1.088,0.832,0.083,,,
17NPRB005303S4S8,2.49,1.441,0.46,,,,
17NPRB005404S4S9,1.861,1.898,0.559,0.494,,,
17NPRB005505S4S10,1.578,1.434,0.673,0.294,0.337,,
17NPRB005604S4S11,1.254,0.353,0.273,0.073,,,
17NPRB005803S4S13,1.379,0.681,0.29,,,,
17NPRB005904S4S14,1.696,1.313,1.04,0.435,,,
17NPRB006103S5S1,1.323,0.923,0.219,,,,
17NPRB006204S5S2,1.62,1.138,0.51,0.337,,,
17NPRB006304S5S3,1.291,1.193,0.571,0.217,,,
17NPRB006406S5S4,1.274,0.723,0.353,0.258,0.271,0.134,
17NPRB006603S5S6,2.074,1.152,0.835,,,,
17NPRB006706S5S7,1.918,0.726,0.699,0.252,0.246,0.201,
17NPRB006803S5S8,1.309,0.557,0.32,,,,
17NPRB006903S5S9,1.878,1.033,0.517,,,,
17NPRB007004S5S10,1.713,1.083,0.387,0.388,,,
17NPRB007203S5S12,1.241,1.034,0.296,,,,
17NPRB007304S5S13,1.494,1.002,0.515,0.215,,,
17NPRB007404S5S14,0.108,0.315,0.5,0.634,,,
17NPRB007503S5S15,1.444,0.979,0.363,,,,
17NPRB007804S6S3,1.964,1.033,0.374,0.302,,,
17NPRB008404S6S9,1.44,0.875,0.778,0.333,,,
17NPRB008503S6S10,2.118,1.719,0.512,,,,
17NPRB008706S6S12,1.653,1.26,0.702,0.514,0.326,0.144,
17NPRB008805S6S13,1.886,1.102,0.654,0.578,0.299,,
17NPRB008903S6S14,1.379,1.043,0.513,,,,
17NPRB009204S7S2,1.333,0.583,0.7,0.199,,,
17NPRB009305S7S3,2.156,0.967,0.256,0.166,0.234,,
17NPRB009404S7S4,1.214,1.055,0.509,0.155,,,
17NPRB009503S7S5,2,1.328,0.681,,,,
17NPRB009603S7S6,1.565,0.913,0.502,,,,
17NPRB009803S7S8,1.282,0.834,0.412,,,,
17NPRB010003S7S10,2.355,1.522,0.419,,,,
17NPRB010204S7S12,2.402,0.977,1.01,0.538,,,
17NPRB010403S7S14,2.733,1.041,0.585,,,,
17NPRB010505S7S15,1.996,1.462,0.293,0.314,0.186,,
17NPRB010603S8S1,2.523,1.547,0.93,,,,
17NPRB010704S8S2,1.721,1.321,0.853,0.184,,,
17NPRB010906S8S4,1.848,0.785,0.455,0.69,0.195,0.202,
17NPRB011003S8S5,2.369,1.813,0.696,,,,
17NPRB011103S8S6,2.043,1.397,0.59,,,,
17NPRB011203S8S7,1.733,0.813,0.763,,,,
17NPRB011404S8S9,1.149,0.665,0.272,0.069,,,
17NPRB011503S8S10,1.813,1.9,0.782,,,,
17NPRB012203S9S2,0.007,2.08,3.263,3.766,,,
17NPRB012305S9S3,2.242,1.331,0.681,0.28,0.206,,
17NPRB012504S9S5,1.452,1.05,0.918,0.44,,,
17NPRB012604S9S6,2.185,1.048,1.137,0.374,,,
17NPRB012804S9S8,1.376,1.132,0.973,0.358,,,
17NPRB012904S9S9,2.125,1.19,0.462,0.328,,,
17NPRB013003S9S10,1.724,1.039,0.496,,,,
17NPRB013404S9S14,2.229,1.408,1.004,0.601,,,
17NPRB013503S9S15,1.26,1.106,0.365,,,,
17NPRB013703S10S2,2.145,1.536,0.711,,,,
17NPRB013804S10S3,1.237,0.779,0.869,0.254,,,
17NPRB013903S10S4,1.747,1.357,0.546,,,,
17NPRB014004S10S5,1.632,1.077,0.625,0.203,,,
17NPRB014204S10S7,1.62,1.072,0.404,0.172,,,
17NPRB014404S10S9,1.776,1.078,0.455,0.253,,,
17NPRB014503S10S10,1.377,0.842,0.427,,,,
17NPRB014604S10S11,2.391,1.154,0.766,0.338,,,
17NPRB014703S10S12,2.426,1.525,0.816,,,,
17NPRB014903S10S14,1.574,1.266,0.434,,,,
17NPRB015004S10S15,1.436,1.01,0.917,0.288,,,
17NPRB015204S11S2,2.051,0.893,0.846,0.43,,,
17NPRB015404S11S4,2.256,1.504,0.967,0.435,,,
17NPRB015604S11S6,1.786,1.329,0.779,0.43,,,
17NPRB015703S11S7,2.147,1.134,0.677,,,,
17NPRB015904S11S9,1.487,1.208,0.559,0.212,,,
17NPRB016403S11S14,2.035,1.378,0.604,,,,
17NPRB016704S12S2,1.762,1.614,0.571,0.391,,,
17NPRB016904S12S4,1.665,0.687,0.647,0.209,,,
17NPRB017005S12S5,1.307,0.923,0.51,0.407,0.211,,
17NPRB017104S12S6,1.706,0.447,0.5,0.483,,,
17NPRB017203S12S7,1.159,0.677,0.22,,,,
17NPRB017606S12S11,1.316,1.341,0.845,0.305,0.257,0.192,
17NPRB017803S12S13,1.659,0.741,0.845,,,,
17NPRB018003S12S15,2.127,1.223,0.759,,,,
17NPRB018104S13S1,2.275,1.299,0.791,0.369,,,
17NPRB018203S13S2,1.6,0.997,0.314,,,,
17NPRB018303S13S3,1.553,1.119,0.181,,,,
17NPRB018404S13S4,1.26,1.369,0.84,0.261,,,
17NPRB018503S13S5,2.422,1.255,0.478,,,,
17NPRB018604S13S6,2.113,1.292,0.813,0.217,,,
17NPRB018703S13S7,1.509,0.889,0.438,,,,
17NPRB018804S13S8,2.105,1.28,0.628,0.408,,,
17NPRB018904S13S9,1.919,2.277,1.046,0.685,,,
17NPRB019006S13S10,1.018,0.797,0.635,0.331,0.637,0.265,
17NPRB019104S13S11,2.213,0.844,0.772,0.276,,,
17NPRB019303S13S13,1.275,0.607,0.257,,,,
17NPRB019404S13S14,2.206,0.993,0.674,0.342,,,
17NPRB019604S14S1,1.484,1.285,0.755,0.308,,,
17NPRB019704S14S2,1.831,0.998,0.746,,,,
17NPRB019903S14S4,1.128,1.026,0.502,,,,
17NPRB020003S14S5,1.987,1.073,0.556,,,,
17NPRB020104S14S6,1.372,1.087,0.757,,,,
17NPRB020203S14S7,2.54,1.48,0.576,,,,
17NPRB020304S14S8,1.847,1.131,0.935,0.387,,,
17NPRB020404S14S9,1.541,1.313,0.404,0.284,,,
17NPRB021004S14S15,1.67,1.177,0.771,0.11,,,
17NPRB021106S15S1,1.66,0.953,0.633,0.652,0.602,0.295,0.213
17NPRB021206S15S2,2.27,1.075,0.467,0.463,0.289,0.321,0.077
17NPRB021403S15S4,2.01,1.595,0.816,,,,
17NPRB021504S15S5,1.88,0.743,0.509,0.217,,,
17NPRB021603S15S6,1.944,1.145,0.46,,,,
17NPRB021803S15S8,1.992,0.964,0.277,,,,
17NPRB021903S15S9,1.94,1.324,0.282,,,,
17NPRB022004S15S10,1.285,1.076,0.81,0.191,,,
17NPRB022206S15S12,1.2,1.166,0.533,0.32,0.108,0.103,
17NPRB022306S15S13,1.859,1.116,0.735,0.313,0.157,0.126,
