"region_pairs","count","n","frequency"
"B-A",0,12,0
"C-A",0,12,0
"C-B",0,12,0
"D-A",0,12,0
"D-B",0,12,0
"D-C",0,12,0
"E-A",0,12,0
"E-B",0,12,0
"E-C",0,12,0
"E-D",0,12,0
"F-A",0,12,0
"F-B",1,12,0.0833333333333333
"F-C",0,12,0
"F-D",0,12,0
"F-E",0,12,0
"G-A",2,12,0.166666666666667
"G-B",2,12,0.166666666666667
"G-C",2,12,0.166666666666667
"G-D",1,12,0.0833333333333333
"G-E",1,12,0.0833333333333333
"G-F",0,12,0
"H-A",1,12,0.0833333333333333
"H-B",1,12,0.0833333333333333
"H-C",1,12,0.0833333333333333
"H-D",1,12,0.0833333333333333
"H-E",1,12,0.0833333333333333
"H-F",0,12,0
"H-G",0,12,0
