"","age","year","n","prop1.mean","prop1.var","prop1.se","prop1.max","prop1.min","prop1.mean.asintrans","prop1.max.asintrans","prop1.min.asintrans","prop2.mean","prop2.var","prop2.se","prop2.max","prop2.min","prop2.mean.asintrans","prop2.max.asintrans","prop2.min.asintrans","last.annulus.mean","last.annulus.var","last.annulus.se","last.annulus.max","last.annulus.min","last.annulus.mean.asintrans","last.annulus.max.asintrans","last.annulus.min.asintrans","prop1.h1","prop1.h2","prop2.h1","prop2.h2","last.annulus.h1","last.annulus.h2"
"2","3","1996",136,0.444593401677109,0.00278430555653217,0.0527665192762624,0.578528206129221,0.320206620750944,1.45975507808331,1.72850569078911,1.20297133510665,0.813482404842405,0.00142533466414545,0.0377536046510191,0.912395240079641,0.66652264319084,2.2484473743909,2.54062788250664,1.91032773281403,0.813482404842405,0.00142533466414545,0.0377536046510191,0.912395240079641,0.66652264319084,2.2484473743909,2.54062788250664,1.91032773281403,0.256783742976656,0.268750612705806,0.33811964157687,0.292180508115737,0.33811964157687,0.292180508115737
"6","3","2013",123,0.426907269465857,0.00209098026336896,0.0457272376529456,0.530518097941803,0.297001065611204,1.42408512555184,1.6318704839017,1.15272585002026,0.790803375689665,0.00110607503977214,0.0332577064719162,0.865199605021865,0.688738102827998,2.19149880791956,2.38970257232119,1.95786568117038,0.790803375689665,0.00110607503977214,0.0332577064719162,0.865199605021865,0.688738102827998,2.19149880791956,2.38970257232119,1.95786568117038,0.271359275531586,0.207785358349857,0.233633126749188,0.198203764401625,0.233633126749188,0.198203764401625
"8","3","2015",257,0.427843174197247,0.00119779398863781,0.0346091604728836,0.528575216332827,0.320293398533007,1.42597699852879,1.62797791579858,1.20315732500882,0.81332269209896,0.000962438021254041,0.0310231852209608,0.913738383907574,0.691215575646866,2.24803742149337,2.54539528152148,1.96322235686761,0.81332269209896,0.000962438021254041,0.0310231852209608,0.913738383907574,0.691215575646866,2.24803742149337,2.54539528152148,1.96322235686761,0.222819673519965,0.202000917269787,0.284815064625765,0.297357860028103,0.284815064625765,0.297357860028103
"10","4","1996",184,0.399852632101212,0.00267483543821202,0.0517188112606237,0.555296985815603,0.27802145893785,1.36913758330025,1.68161699468443,1.11078631043863,0.718206990114531,0.00325619108206814,0.0570630448019394,0.931707200306396,0.489657262647438,2.02240553840146,2.61279525312265,1.55010937662494,0.921302081177868,0.000737117726462202,0.027149912089401,0.982214668709307,0.808649052176927,2.57289706766274,2.87407231900086,2.23610004390195,0.258351272861618,0.312479411384188,0.472296161776518,0.590389714721194,0.336797023760794,0.30117525133812
"11","4","2011",129,0.368101248966306,0.00213019987982495,0.0461540884410574,0.472196598784266,0.262466100953547,1.30383927429991,1.51516082729653,1.07575524894481,0.683976583978538,0.00256999301307788,0.0506950985113736,0.831486342959059,0.558108685387953,1.94760312299585,2.2955789036846,1.68727691509002,0.875681441547212,0.000706054383125892,0.0265716838594375,0.948571428571429,0.795228354057968,2.42092130547388,2.68405482601411,2.20242093513771,0.228084025355101,0.211321552996624,0.260326207905833,0.347975780688752,0.218500370336164,0.263133520540231
"12","4","2012",101,0.333448549219025,0.00203801749457914,0.0451444071240185,0.485591875595049,0.224670283622249,1.23120381658638,1.54197608843954,0.987642299323987,0.676660496119043,0.00193033128511315,0.0439355355619248,0.779686498198138,0.537978033611221,1.9319150180707,2.16442551971102,1.64682562014861,0.890275787163351,0.000584923167831255,0.0241851848831316,0.965982617608747,0.803207922468154,2.46634404845487,2.77059257400518,2.22234159406375,0.243561517262392,0.310772271853156,0.28508939792209,0.232510501640327,0.244002454391124,0.304248525550311
"14","4","2014",350,0.37136124829164,0.00200957714362388,0.0448283073919134,0.477046979865772,0.217719438079107,1.3105925199782,1.52487414775694,0.970894888894128,0.701195456555919,0.00186295234716353,0.0431619316894359,0.835497583415827,0.559089905014358,1.98492336263874,2.30634646938654,1.68925297267868,0.892311998832089,0.000778187666881658,0.0278960152509576,0.96374831790564,0.80891808131736,2.47288573801533,2.75845604205937,2.2367841454645,0.33969763108407,0.214281627778746,0.295670389960053,0.321423106747807,0.236101592550831,0.285570304044037
"16","4","2016",411,0.38434808411641,0.00169042239565387,0.0411147466932957,0.492623296332725,0.267572330411118,1.3373786817489,1.55604238419603,1.08732510976021,0.729818086734642,0.0014547377339613,0.0381410242909299,0.833128349292805,0.612667197786071,2.04838181680712,2.29997408832575,1.79808257211043,0.906988322935598,0.0005336831787366,0.0231015839010359,0.974072168407866,0.83806448907711,2.52176166372857,2.81814208835608,2.31329226073546,0.250053571988695,0.218663702447129,0.250299244696687,0.251592271518633,0.208469402993107,0.296380424627511
"18","5","2011",103,0.357338613811716,0.00234817900144511,0.0484580127682215,0.456168141251014,0.227514127497118,1.28145314402947,1.48301993766712,0.994440911331266,0.644906927522782,0.00201307962847299,0.0448673559336071,0.73986392392472,0.490058807056847,1.86482866685539,2.07114083877075,1.55091263072694,0.921318112804018,0.000466883436987231,0.0216074856701845,0.97272510245494,0.860630623642569,2.5729566085301,2.8097701554812,2.37641779055222,0.287012232698201,0.201566793637656,0.313916036128448,0.206312171915358,0.19653881797788,0.236813546951098
"19","5","2012",109,0.342657809202897,0.00217121541855933,0.0465963026275619,0.489513558460757,0.24594044406571,1.25067220226331,1.54982190588356,1.03779675843613,0.624609872437213,0.00211210825262987,0.0459576789299663,0.726020304797065,0.488068467130974,1.82267082163898,2.03984802895881,1.54693099568878,0.928608274021639,0.000412754848865969,0.0203163689882314,0.980664752912149,0.850780154472811,2.60063621191703,2.86258609012943,2.34838103927657,0.212875443827177,0.299149703620253,0.275739825950203,0.217177207319825,0.252255172640453,0.261949878212398
"22","5","2015",101,0.350201666481568,0.00152259274209107,0.0390204144274644,0.457670720299345,0.263156811069017,1.26652645251551,1.4860363141861,1.07732447122145,0.658421150953926,0.00159096823548114,0.0398869431704304,0.742027383280891,0.506960257283035,1.89319472889447,2.07607895108384,1.58471729098808,0.94101267752423,0.000216288392906581,0.0147067465099043,0.971919379609791,0.900155841967821,2.65093966046329,2.80485851693123,2.49861119807231,0.189201981294061,0.21950986167059,0.308477437906391,0.182884222189369,0.152328462390974,0.153918856467941
