"fish","region","variable","mean","sd","se"
"1","A","prop",0.313060969487972,0.00912620371461707,0.00526901617131353
"1","B","prop",0.329685329632772,0.0345651948730716,0.0199562245645598
"1","C","prop",0.294022893134872,0.0418740207791418,0.0241759771688895
"1","D","prop",0.283706495865241,0.0226162662893231,0.0130575074302049
"1","E","prop",0.287615421072212,0.000406941890873699,0.000234948010240465
"1","F","prop",0.252303044087577,0.0373947490205759,0.021589868413308
"1","G","prop",0.183055241102394,0.0244388687434959,0.0141097874477473
"1","H","prop",0.206844580026325,0.00872164619385918,0.00503544477780127
"2","A","prop",0.333056250248859,0.0247738365257295,0.0143031811869897
"2","B","prop",0.332895367268918,0.0545180392053077,0.031476004610875
"2","C","prop",0.294409813557618,0.0188406032550476,0.0108776273609967
"2","D","prop",0.360078062692155,0.0515609898988611,0.0297687513977911
"2","E","prop",0.361670139137257,0.0455569208498149,0.0263023005160911
"2","F","prop",0.291493414637416,0.0273742436062033,0.0158045269149038
"2","G","prop",0.35832325610855,0.0367377026396452,0.0212105225084076
"2","H","prop",0.311157329232055,0.00544064025275639,0.00314115511449282
"3","A","prop",0.297440257134641,0.0421100603955211,0.0243122547049455
"3","B","prop",0.395376988716244,0.02161008369036,0.0124765876358397
"3","C","prop",0.344076520343866,0.0182922961761176,0.0105610621213778
"3","D","prop",0.35468748271434,0.0226162101682934,0.0130574750287134
"3","E","prop",0.339872452158274,0.0400879490820777,0.0231447881937976
"3","F","prop",0.338481596856969,0.0385808574444696,0.0222746684311311
"3","G","prop",0.375682874078132,0.0132046730885305,0.0076237215622241
"3","H","prop",0.335302004941068,0.0387450931955567,0.0223694899862318
"4","A","prop",0.365819179269394,0.0264544042259096,0.0152734574010801
"4","B","prop",0.297008377834648,0.0150149936161233,0.00866891060614932
"4","C","prop",0.327701676963599,0.0587039321062321,0.0338927310040226
"4","D","prop",0.32654191364316,0.0205792476823334,0.0118814341891152
"4","E","prop",0.327369956629612,0.0171826677012639,0.00992041782272059
"4","F","prop",0.366274313756352,0.0827149724555092,0.0477555116132007
"4","G","prop",0.349987259655466,0.015907980472501,0.00918447680806179
"4","H","prop",0.332145081060214,0.0355051449007923,0.0204989049660891
"5","A","prop",0.325587677461585,0.0607094122238656,0.0350505954897928
"5","B","prop",0.303029020529128,0.0340121631509133,0.0196369315509013
"5","C","prop",0.346395313656526,0.00327705803388872,0.00189201033801568
"5","D","prop",0.342343293575636,0.0196603087532008,0.0113508845510117
"5","E","prop",0.292898232688795,0.0707358011687343,0.0408393338461126
"5","F","prop",0.304481113124599,0.0468620188288161,0.0270557991855863
"5","G","prop",0.295848380315339,0.0204787426304315,0.0118234075703447
"5","H","prop",0.342074239634831,0.0098300698801131,0.00567539349143613
"6","A","prop",0.334253288285335,0.0578918597699152,0.0334238808220486
"6","B","prop",0.305206730034952,0.0177734129705827,0.0102614847629843
"6","C","prop",0.37068149047335,0.0116992271638229,0.00675455195234373
"6","D","prop",0.366422500436852,0.0296461869038534,0.0171162339893857
"6","E","prop",0.325261511894335,0.0142015951443871,0.00819929477953395
"6","F","prop",0.351264667096956,0.0252304848179476,0.0145668272014268
"6","G","prop",0.355305154310541,0.0306061529904607,0.0176704706679014
"6","H","prop",0.331217610073186,0.0281460804872585,0.0162501471459516
"7","A","prop",0.340011632181277,0.00716836182035719,0.00413865562663186
"7","B","prop",0.358364776879673,0.0268931413647027,0.0155267624062658
"7","C","prop",0.357065858999613,0.00961994778980946,0.00555407944603663
"7","D","prop",0.33256787505187,0.0483176098090656,0.0278961850298633
"7","E","prop",0.288567616974111,0.0260357194994052,0.0150317296615272
"7","F","prop",0.279052928997233,0.03222715947519,0.018606359198218
"7","G","prop",0.255592174172889,0.0212276836924224,0.0122558088940923
"7","H","prop",0.285626366224424,0.0337909857686534,0.0195092347297149
"8","A","prop",0.284844973467839,0.00744258463270338,0.00429697824115787
"8","B","prop",0.349998103924895,0.0912151089149157,0.0526630676861876
"8","C","prop",0.340549794975504,0.018784991205215,0.0108455197290556
"8","D","prop",0.315107770316433,0.023458652717608,0.013543859461337
"8","E","prop",0.30241072626917,0.0366204648250094,0.0211428352245684
"8","F","prop",0.268459707552606,0.0498562731597775,0.028784532729589
"8","G","prop",0.309030070144677,0.0282780760304238,0.0163263548083299
"8","H","prop",0.316507938781705,0.0224783488413693,0.0129778807545029
"9","A","prop",0.341461226479819,0.0639570695782582,0.036925631337587
"9","B","prop",0.337818062540409,0.030995260338377,0.0178951218999645
"9","C","prop",0.29444252365689,0.0296836357522394,0.0171378550920822
"9","D","prop",0.311102092011968,0.0672419646415829,0.0388221663866572
"9","E","prop",0.309207077359394,0.0283899130792945,0.0163909239586008
"9","F","prop",0.320867798256401,0.0351424743622082,0.0202895170330104
"9","G","prop",0.328538701448481,0.0151767560369037,0.00876230418333162
"9","H","prop",0.308467712344542,0.0518612468466999,0.0299421048274518
"10","A","prop",0.353825867451715,0.0261926611353796,0.0151223399573041
"10","B","prop",0.346189640665997,0.0854928629516453,0.0493593274389242
"10","C","prop",0.246915805910149,0.0386023029708701,0.0222870500115714
"10","D","prop",0.270259527883981,0.0479539383158463,0.0276862191953566
"10","E","prop",0.342599109137875,0.0309309107088234,0.0178579696240195
"10","F","prop",0.321927877794315,0.02082115073683,0.0120210969827466
"10","G","prop",0.313079352378754,0.0512815359121594,0.0296074085633427
"10","H","prop",0.32669692424577,0.0443343946509615,0.0255964746860917
"11","A","prop",0.320880945833469,0.0640295021989103,0.0369674503306186
"11","B","prop",0.395980601148974,0.0443157287124426,0.0255856979014632
"11","C","prop",0.343700618121304,0.00965775890108168,0.00557590970130801
"11","D","prop",0.290203592658083,0.0206866363756711,0.0119434350801216
"11","E","prop",0.31285861996566,0.0165766793492794,0.00957055028457657
"11","F","prop",0.356799087625031,0.0485888592559815,0.0280527909710577
"11","G","prop",0.327740133357513,0.0369393437797056,0.0213269400749011
"11","H","prop",0.384850694915438,0.0433471956533792,0.0250265150790939
"12","A","prop",0.339161075220528,0.0193139755869204,0.0111509290042303
"12","B","prop",0.37257260694582,0.0360269708074743,0.0208001812937821
"12","C","prop",0.371491862722622,0.0416806497934771,0.0240643343782625
"12","D","prop",0.396597862772356,0.0238301356243769,0.0137583352175593
"12","E","prop",0.363596700977246,0.0399967441757097,0.0230921310165546
"12","F","prop",0.420408421935859,0.0483838570535979,0.0279344328943271
"12","G","prop",0.411379955364371,0.0144764599528561,0.00835798805069431
"12","H","prop",0.379219696577651,0.0502964600983406,0.0290386747770622
