"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"fish",11,0.194929797973349,0.0177208907248499,9.4475006297947,2.29063962937197e-14
"region",7,0.0141893833302313,0.00202705476146161,1.08067937627323,0.375918369397842
"Residuals",269,0.504569387373327,0.00187572262964062,NA,NA
