"","diff","lwr","upr","p adj"
"fish10-fish1",0.0464000163823987,0.0051777990290099,0.0876222337357874,0.0131163314101407
"fish11-fish1",0.0728400399020131,0.0316178225486243,0.114062257255402,1.05430759111957e-06
"fish12-fish1",0.113016776013386,0.071794558659997,0.154238993366774,4.0734082773497e-13
"fish2-fish1",0.0615987073091827,0.0203764899557939,0.102820924662571,9.20844873116833e-05
"fish3-fish1",0.0788282753167709,0.0376060579633822,0.12005049267016,7.71753204675818e-08
"fish4-fish1",0.0678192230503849,0.0265970056969961,0.109041440403774,8.36197068476707e-06
"fish5-fish1",0.0502954120721339,0.0090731947187452,0.0915176294255227,0.00421806062067631
"fish6-fish1",0.0736648722745175,0.0324426549211287,0.114887089627906,7.42192491909321e-07
"fish7-fish1",0.0433194068839654,0.00209718953057665,0.0845416242373542,0.0298077408872578
"fish8-fish1",0.0420768888779328,0.000854671524544007,0.0832991062313215,0.0406682937403232
"fish9-fish1",0.0502014024610671,0.00897918510767833,0.0914236198144558,0.00434034682840034
"fish11-fish10",0.0264400235196144,-0.0147821938337743,0.0676622408730032,0.612653531819406
"fish12-fish10",0.0666167596309871,0.0253945422775983,0.107838976984376,1.34942292511209e-05
"fish2-fish10",0.015198690926784,-0.0260235264266048,0.0564209082801728,0.98736913176505
"fish3-fish10",0.0324282589343723,-0.00879395841901646,0.073650476287761,0.28853069279134
"fish4-fish10",0.0214192066679862,-0.0198030106854025,0.062641424021375,0.860826914646786
"fish5-fish10",0.00389539568973529,-0.0373268216636535,0.045117613043124,0.999999983130078
"fish6-fish10",0.0272648558921188,-0.01395736146127,0.0684870732455076,0.565050237912467
"fish7-fish10",-0.00308060949843325,-0.044302826851822,0.0381416078549555,0.999999998671003
"fish8-fish10",-0.0043231275044659,-0.0455453448578546,0.0368990898489229,0.999999948234503
"fish9-fish10",0.00380138607866842,-0.0374208312747203,0.0450236034320572,0.999999987039272
"fish12-fish11",0.0401767361113726,-0.00104548124201613,0.0813989534647614,0.0638533115886939
"fish2-fish11",-0.0112413325928304,-0.0524635499462192,0.0299808847605583,0.999093059114675
"fish3-fish11",0.00598823541475785,-0.0352339819386309,0.0472104527681466,0.999998347519564
"fish4-fish11",-0.0050208168516282,-0.046243034205017,0.0362014005017606,0.999999743652941
"fish5-fish11",-0.0225446278298791,-0.0637668451832679,0.0186775895235096,0.815038840414747
"fish6-fish11",0.000824832372504358,-0.0403973849808844,0.0420470497258931,1
"fish7-fish11",-0.0295206330180477,-0.0707428503714364,0.0117015843353411,0.436254621334558
"fish8-fish11",-0.0307631510240803,-0.0719853683774691,0.0104590663293084,0.369602734796786
"fish9-fish11",-0.022638637440946,-0.0638608547943348,0.0185835799124427,0.81089680428153
"fish2-fish12",-0.0514180687042031,-0.0926402860575918,-0.0101958513508143,0.00298523145070084
"fish3-fish12",-0.0341885006966148,-0.0754107180500035,0.00703371665677398,0.215341284404973
"fish4-fish12",-0.0451975529630008,-0.0864197703163896,-0.00397533560961207,0.0182222451656787
"fish5-fish12",-0.0627213639412518,-0.103943581294641,-0.021499146587863,6.05877406325561e-05
"fish6-fish12",-0.0393519037388683,-0.080574121092257,0.00187031361452049,0.0769434081013565
"fish7-fish12",-0.0696973691294203,-0.110919586482809,-0.0284751517760316,3.90622027235388e-06
"fish8-fish12",-0.070939887135453,-0.112162104488842,-0.0297176697820642,2.33984234254692e-06
"fish9-fish12",-0.0628153735523186,-0.104037590905707,-0.0215931561989299,5.84834557919578e-05
"fish3-fish2",0.0172295680075883,-0.0239926493458005,0.058451785360977,0.966796478769862
"fish4-fish2",0.00622051574120225,-0.0350017016121865,0.047442733094591,0.99999753779829
"fish5-fish2",-0.0113032952370487,-0.0525255125904375,0.02991892211634,0.999045503832103
"fish6-fish2",0.0120661649653348,-0.029156052388054,0.0532883823187236,0.998261624778093
"fish7-fish2",-0.0182793004252172,-0.059501517778606,0.0229429169281715,0.949336992240888
"fish8-fish2",-0.0195218184312499,-0.0607440357846386,0.0217003989221389,0.921186462725929
"fish9-fish2",-0.0113973048481156,-0.0526195222015043,0.0298249125052732,0.998969287115677
"fish4-fish3",-0.011009052266386,-0.0522312696197748,0.0302131650870027,0.999253731398883
"fish5-fish3",-0.028532863244637,-0.0697550805980258,0.0126893541087518,0.491889374723872
"fish6-fish3",-0.00516340304225349,-0.0463856203956422,0.0360588143111353,0.999999654720556
"fish7-fish3",-0.0355088684328055,-0.0767310857861943,0.00571334892058321,0.169472128343938
"fish8-fish3",-0.0367513864388382,-0.0779736037922269,0.00447083091455057,0.133233995271241
"fish9-fish3",-0.0286268728557039,-0.0698490902090926,0.0125953444976849,0.486522152408689
"fish5-fish4",-0.017523810978251,-0.0587460283316397,0.0236984063751378,0.962439297907298
"fish6-fish4",0.00584564922413255,-0.0353765681292562,0.0470678665775213,0.999998717253281
"fish7-fish4",-0.0244998161664195,-0.0657220335198083,0.0167224011869693,0.720148763268399
"fish8-fish4",-0.0257423341724521,-0.0669645515258409,0.0154798831809366,0.652308785986848
"fish9-fish4",-0.0176178205893178,-0.0588400379427066,0.0236043967640709,0.960961975657589
"fish6-fish5",0.0233694602023835,-0.0178527571510052,0.0645916775557723,0.777152281095437
"fish7-fish5",-0.00697600518816854,-0.0481982225415573,0.0342462121652202,0.99999189576707
"fish8-fish5",-0.00821852319420119,-0.0494407405475899,0.0330036941591876,0.999956849889309
"fish9-fish5",-9.40096110668698e-05,-0.0413162269644556,0.0411282077423219,1
"fish7-fish6",-0.0303454653905521,-0.0715676827439408,0.0108767519628367,0.391502796846794
"fish8-fish6",-0.0315879833965847,-0.0728102007499734,0.00963423395680406,0.328115237033644
"fish9-fish6",-0.0234634698134504,-0.0646856871668391,0.0177587475399384,0.772622094693821
"fish8-fish7",-0.00124251800603264,-0.0424647353594214,0.0399796993473561,1
"fish9-fish7",0.00688199557710167,-0.0343402217762871,0.0481042129304904,0.99999295577753
"fish9-fish8",0.00812451358313432,-0.0330977037702544,0.0493467309365231,0.999961574155963
"B-A",0.0145601886333329,-0.0166253340477432,0.045745711314409,0.844411096592037
"C-A",-0.0014957641672102,-0.0326812868482863,0.0296897585138659,0.999999924146026
"D-A",1.79272583031853e-05,-0.0311675954227729,0.0312034499393793,1
"E-A",-0.00795631485487464,-0.0391418375359508,0.0232292078262015,0.994045054892507
"F-A",-0.00646578090009364,-0.0376513035811698,0.0247197417809825,0.998382619999247
"G-A",-0.00715339917377744,-0.0383389218548536,0.0240321235072987,0.996925315681849
"H-A",-0.00744109703876883,-0.038626619719845,0.0237444256423073,0.996063898158668
"C-B",-0.0160559528005431,-0.0472414754816192,0.015129569880533,0.766147153461746
"D-B",-0.0145422613750297,-0.0457277840561059,0.0166432613060464,0.845250937638917
"E-B",-0.0225165034882076,-0.0537020261692837,0.00866901919286858,0.351606717851721
"F-B",-0.0210259695334266,-0.0522114922145027,0.0101595531476496,0.443891893314199
"G-B",-0.0217135878071104,-0.0528991104881865,0.00947193487396577,0.400223264485949
"H-B",-0.0220012856721017,-0.0531868083531779,0.00918423700897439,0.382480063805008
"D-C",0.00151369142551339,-0.0296718312555627,0.0326992141065895,0.999999917580501
"E-C",-0.00646055068766443,-0.0376460733687406,0.0247249719934117,0.998390997960496
"F-C",-0.00497001673288344,-0.0361555394139596,0.0262155059481927,0.999710890239528
"G-C",-0.00565763500656724,-0.0368431576876434,0.0255278876745089,0.999319748484079
"H-C",-0.00594533287155863,-0.0371308555526348,0.0252401898095175,0.999059637473634
"E-D",-0.00797424211317782,-0.039159764794254,0.0232112805678983,0.993962338286483
"F-D",-0.00648370815839683,-0.037669230839473,0.0247018145226793,0.998353632615275
"G-D",-0.00717132643208063,-0.0383568491131568,0.0240141962489955,0.996876527514743
"H-D",-0.00745902429707201,-0.0386445469781481,0.0237264983840041,0.996004408933986
"F-E",0.00149053395478099,-0.0296949887262951,0.0326760566358571,0.999999925975036
"G-E",0.000802915681097194,-0.0303826069999789,0.0319884383621733,0.999999999014665
