term,estimate,std.error,statistic,p.value,zone
(Intercept),-1.1785892326202585,0.328537398672971,-3.587382250485999,4.056983171602602e-4,A1
lencap,0.030321219805589248,0.002137422710159038,14.185878937972525,1.7615553986543425e-33,A1
agecap,0.024739469432510482,0.0239939647421859,1.0310705087022924,0.3035588064771487,A1
(Intercept),-1.1229979094885048,0.47208590291226304,-2.3787999229818424,0.018162273906804475,A2
lencap,0.029432402552794803,0.0030713310999184603,9.582946805564594,1.3571913936451845e-18,A2
agecap,0.0406936560023562,0.0344776958590186,1.180289314249857,0.2390684282248467,A2
(Intercept),-0.9342660185653094,0.35035866238658564,-2.666598885271575,0.008194623535778467,A3
lencap,0.030035980002943233,0.0022821219265704486,13.161426501028812,5.2437371640696476e-030,A3
agecap,0.008837433940341729,0.025731121164202158,0.34345312370751296,0.7315646695764688,A3
(Intercept),-0.6477742299089997,0.44418292724675046,-1.4583501304838562,0.1460735887938344,A4
lencap,0.021848568371447965,0.002890036939976234,7.559961628596912,8.898079806379145e-13,A4
agecap,0.0479469357059673,0.0324633861106016,1.4769542383106247,0.14102105763175574,A4
(Intercept),1.043907817184655,0.8030731959306976,1.2998912458718652,0.19492273368973698,A6
lencap,0.015282001438662873,0.005227454320561349,2.9234117605874785,0.003803357864939318,A6
agecap,0.018093667054032,0.058841929534011926,0.30749615448238254,0.7587404232531538,A6
