term,estimate,std.error,statistic,p.value
(Intercept),115.24855345013495,2.5356486089684047,45.45131097523103,4.197957211054014e-262
radcap,15.710632807101318,0.5249697236378564,29.92674072369761,4.366085253988359e-147
zoneA2,0.7050146472186792,1.0473794305292812,0.6731224871032727,0.5010003961404035
zoneA3,-1.972782655523399,1.0513077241478657,-1.8765035300415318,0.060831350305301256
zoneA4,15.13405136091612,1.1640743319010636,13.000932110753203,3.162447274417932e-36
zoneA6,9.884353920414783,1.1023923298504719,8.966276027841642,1.1658683085851162e-18
