"","id","fish","agecap","lencap","anu1","anu2","anu3","anu4","anu5","anu6","anu7","anu8","anu9","radcap","rad1","rad2","rad3","rad4","rad5","rad6","rad7","rad8","rad9","zone","prop_age2","prop_age3"
"20",59,4,4,194,1.8,0.96,0.55,0.19,NA,NA,NA,NA,NA,3.5,1.8,2.76,3.31,3.5,NA,NA,NA,NA,NA,"A6",0.788571428571428,0.945714285714286
"21",121,9,4,187,1.05,0.82,1.21,0.77,NA,NA,NA,NA,NA,3.85,1.05,1.87,3.08,3.85,NA,NA,NA,NA,NA,"A1",0.485714285714286,0.8
"22",122,9,4,187,1.17,0.85,1.17,0.8,NA,NA,NA,NA,NA,3.99,1.17,2.02,3.19,3.99,NA,NA,NA,NA,NA,"A1",0.506265664160401,0.799498746867168
"23",126,9,4,187,1.08,0.81,1.25,0.85,NA,NA,NA,NA,NA,3.99,1.08,1.89,3.14,3.99,NA,NA,NA,NA,NA,"A2",0.473684210526316,0.786967418546366
"24",125,9,4,187,1.26,0.95,1.12,1.07,NA,NA,NA,NA,NA,4.4,1.26,2.21,3.33,4.4,NA,NA,NA,NA,NA,"A2",0.502272727272727,0.756818181818182
"25",129,9,4,187,0.98,1.42,0.69,0.71,NA,NA,NA,NA,NA,3.8,0.98,2.4,3.09,3.8,NA,NA,NA,NA,NA,"A3",0.631578947368421,0.813157894736842
"26",128,9,4,187,1.33,1.02,1.15,0.68,NA,NA,NA,NA,NA,4.18,1.33,2.35,3.5,4.18,NA,NA,NA,NA,NA,"A3",0.562200956937799,0.837320574162679
"27",131,9,4,187,1,0.7,0.84,0.62,NA,NA,NA,NA,NA,3.16,1,1.7,2.54,3.16,NA,NA,NA,NA,NA,"A4",0.537974683544304,0.80379746835443
"28",130,9,4,187,0.79,0.6,0.78,0.53,NA,NA,NA,NA,NA,2.7,0.79,1.39,2.17,2.7,NA,NA,NA,NA,NA,"A4",0.514814814814815,0.803703703703704
"29",135,9,4,187,1.13,1.18,0.95,0.65,NA,NA,NA,NA,NA,3.91,1.13,2.31,3.26,3.91,NA,NA,NA,NA,NA,"A6",0.59079283887468,0.833759590792839
"30",134,9,4,187,1.34,0.59,0.82,0.49,NA,NA,NA,NA,NA,3.24,1.34,1.93,2.75,3.24,NA,NA,NA,NA,NA,"A6",0.595679012345679,0.848765432098765
"31",196,14,4,186,1.91,1.43,0.71,0.36,NA,NA,NA,NA,NA,4.41,1.91,3.34,4.05,4.41,NA,NA,NA,NA,NA,"A1",0.757369614512472,0.918367346938775
"32",197,14,4,186,2.1,1.46,0.74,0.32,NA,NA,NA,NA,NA,4.62,2.1,3.56,4.3,4.62,NA,NA,NA,NA,NA,"A1",0.770562770562771,0.930735930735931
"33",200,14,4,186,1.84,1.42,0.78,0.38,NA,NA,NA,NA,NA,4.42,1.84,3.26,4.04,4.42,NA,NA,NA,NA,NA,"A2",0.737556561085973,0.914027149321267
"34",199,14,4,186,1.75,1.23,0.68,0.29,NA,NA,NA,NA,NA,3.95,1.75,2.98,3.66,3.95,NA,NA,NA,NA,NA,"A2",0.754430379746835,0.926582278481013
"35",202,14,4,186,1.89,1.31,0.69,0.37,NA,NA,NA,NA,NA,4.26,1.89,3.2,3.89,4.26,NA,NA,NA,NA,NA,"A3",0.751173708920188,0.913145539906103
"36",203,14,4,186,1.9,1.39,0.7,0.36,NA,NA,NA,NA,NA,4.35,1.9,3.29,3.99,4.35,NA,NA,NA,NA,NA,"A3",0.75632183908046,0.917241379310345
"37",207,14,4,186,1.4,1.04,0.66,0.24,NA,NA,NA,NA,NA,3.34,1.4,2.44,3.1,3.34,NA,NA,NA,NA,NA,"A4",0.730538922155689,0.92814371257485
"38",206,14,4,186,1.62,1.14,0.73,0.31,NA,NA,NA,NA,NA,3.8,1.62,2.76,3.49,3.8,NA,NA,NA,NA,NA,"A4",0.726315789473684,0.918421052631579
"39",209,14,4,186,1.97,1.41,0.67,0.32,NA,NA,NA,NA,NA,4.37,1.97,3.38,4.05,4.37,NA,NA,NA,NA,NA,"A6",0.773455377574371,0.926773455377574
"40",208,14,4,186,2.07,1.44,0.69,0.27,NA,NA,NA,NA,NA,4.47,2.07,3.51,4.2,4.47,NA,NA,NA,NA,NA,"A6",0.785234899328859,0.939597315436241
"41",228,16,4,165,1.1,0.77,0.98,0.78,NA,NA,NA,NA,NA,3.63,1.1,1.87,2.85,3.63,NA,NA,NA,NA,NA,"A1",0.515151515151515,0.785123966942149
"42",226,16,4,165,1.2,0.71,1.11,0.74,NA,NA,NA,NA,NA,3.76,1.2,1.91,3.02,3.76,NA,NA,NA,NA,NA,"A1",0.507978723404255,0.803191489361702
"43",230,16,4,165,1.13,0.68,0.92,0.8,NA,NA,NA,NA,NA,3.53,1.13,1.81,2.73,3.53,NA,NA,NA,NA,NA,"A2",0.512747875354108,0.773371104815864
"44",229,16,4,165,0.74,0.53,0.7,0.56,NA,NA,NA,NA,NA,2.53,0.74,1.27,1.97,2.53,NA,NA,NA,NA,NA,"A2",0.50197628458498,0.778656126482213
"45",232,16,4,165,1.23,0.82,0.93,0.87,NA,NA,NA,NA,NA,3.85,1.23,2.05,2.98,3.85,NA,NA,NA,NA,NA,"A3",0.532467532467532,0.774025974025974
"46",234,16,4,165,1.25,0.74,1.01,0.76,NA,NA,NA,NA,NA,3.76,1.25,1.99,3,3.76,NA,NA,NA,NA,NA,"A3",0.529255319148936,0.797872340425532
"47",237,16,4,165,0.85,0.51,0.61,0.57,NA,NA,NA,NA,NA,2.54,0.85,1.36,1.97,2.54,NA,NA,NA,NA,NA,"A4",0.535433070866142,0.775590551181102
"48",236,16,4,165,0.84,0.52,0.58,0.61,NA,NA,NA,NA,NA,2.55,0.84,1.36,1.94,2.55,NA,NA,NA,NA,NA,"A4",0.533333333333333,0.76078431372549
"49",238,16,4,165,1.25,0.98,1.05,0.83,NA,NA,NA,NA,NA,4.11,1.25,2.23,3.28,4.11,NA,NA,NA,NA,NA,"A6",0.542579075425791,0.798053527980535
"50",240,16,4,165,0.82,0.62,0.78,0.62,NA,NA,NA,NA,NA,2.84,0.82,1.44,2.22,2.84,NA,NA,NA,NA,NA,"A6",0.507042253521127,0.78169014084507
"51",258,18,4,187,1.92,1.38,0.67,0.4,NA,NA,NA,NA,NA,4.37,1.92,3.3,3.97,4.37,NA,NA,NA,NA,NA,"A1",0.755148741418764,0.908466819221968
"52",257,18,4,187,1.86,1.46,0.65,0.46,NA,NA,NA,NA,NA,4.43,1.86,3.32,3.97,4.43,NA,NA,NA,NA,NA,"A1",0.749435665914221,0.896162528216704
"53",261,18,4,187,1.87,1.51,0.68,0.52,NA,NA,NA,NA,NA,4.58,1.87,3.38,4.06,4.58,NA,NA,NA,NA,NA,"A2",0.737991266375546,0.88646288209607
"54",259,18,4,187,1.82,1.51,0.66,0.5,NA,NA,NA,NA,NA,4.49,1.82,3.33,3.99,4.49,NA,NA,NA,NA,NA,"A2",0.741648106904232,0.888641425389755
"55",264,18,4,187,1.95,1.47,0.67,0.49,NA,NA,NA,NA,NA,4.58,1.95,3.42,4.09,4.58,NA,NA,NA,NA,NA,"A3",0.746724890829694,0.893013100436681
"56",263,18,4,187,1.65,1.33,0.48,0.37,NA,NA,NA,NA,NA,3.83,1.65,2.98,3.46,3.83,NA,NA,NA,NA,NA,"A3",0.778067885117493,0.903394255874674
"57",265,18,4,187,1.48,1.21,0.56,0.31,NA,NA,NA,NA,NA,3.56,1.48,2.69,3.25,3.56,NA,NA,NA,NA,NA,"A4",0.75561797752809,0.912921348314607
"58",267,18,4,187,1.74,1.38,0.64,0.4,NA,NA,NA,NA,NA,4.16,1.74,3.12,3.76,4.16,NA,NA,NA,NA,NA,"A4",0.75,0.903846153846154
"59",269,18,4,187,2.11,1.34,0.7,0.4,NA,NA,NA,NA,NA,4.55,2.11,3.45,4.15,4.55,NA,NA,NA,NA,NA,"A6",0.758241758241758,0.912087912087912
"60",268,18,4,187,2.15,1.31,0.63,0.41,NA,NA,NA,NA,NA,4.5,2.15,3.46,4.09,4.5,NA,NA,NA,NA,NA,"A6",0.768888888888889,0.908888888888889
"61",393,27,4,185,2.22,1.26,0.8,0.31,NA,NA,NA,NA,NA,4.59,2.22,3.48,4.28,4.59,NA,NA,NA,NA,NA,"A1",0.758169934640523,0.932461873638344
"62",392,27,4,185,1.96,1.11,0.85,0.2,NA,NA,NA,NA,NA,4.12,1.96,3.07,3.92,4.12,NA,NA,NA,NA,NA,"A1",0.745145631067961,0.951456310679612
"63",394,27,4,185,2.05,1.09,0.75,0.25,NA,NA,NA,NA,NA,4.14,2.05,3.14,3.89,4.14,NA,NA,NA,NA,NA,"A2",0.758454106280193,0.939613526570048
"64",396,27,4,185,2.12,1.05,0.95,0.23,NA,NA,NA,NA,NA,4.35,2.12,3.17,4.12,4.35,NA,NA,NA,NA,NA,"A2",0.728735632183908,0.947126436781609
"65",399,27,4,185,2.26,1.35,0.85,0.28,NA,NA,NA,NA,NA,4.74,2.26,3.61,4.46,4.74,NA,NA,NA,NA,NA,"A3",0.761603375527426,0.940928270042194
"66",397,27,4,185,2.14,1.29,0.83,0.25,NA,NA,NA,NA,NA,4.51,2.14,3.43,4.26,4.51,NA,NA,NA,NA,NA,"A3",0.760532150776053,0.944567627494457
"67",400,27,4,185,1.19,0.69,0.52,0.15,NA,NA,NA,NA,NA,2.55,1.19,1.88,2.4,2.55,NA,NA,NA,NA,NA,"A4",0.737254901960784,0.941176470588235
"68",402,27,4,185,1.55,0.83,0.61,0.27,NA,NA,NA,NA,NA,3.26,1.55,2.38,2.99,3.26,NA,NA,NA,NA,NA,"A4",0.730061349693252,0.917177914110429
"69",404,27,4,185,1.48,0.6,0.51,0.1,NA,NA,NA,NA,NA,2.69,1.48,2.08,2.59,2.69,NA,NA,NA,NA,NA,"A6",0.773234200743494,0.962825278810409
"70",405,27,4,185,1.7,0.92,0.61,0.15,NA,NA,NA,NA,NA,3.38,1.7,2.62,3.23,3.38,NA,NA,NA,NA,NA,"A6",0.775147928994083,0.955621301775148
"71",438,30,4,174,2.27,1.48,0.42,0.18,NA,NA,NA,NA,NA,4.35,2.27,3.75,4.17,4.35,NA,NA,NA,NA,NA,"A1",0.862068965517241,0.958620689655172
"72",436,30,4,174,2.33,1.63,0.32,0.31,NA,NA,NA,NA,NA,4.59,2.33,3.96,4.28,4.59,NA,NA,NA,NA,NA,"A1",0.862745098039216,0.932461873638344
"73",439,30,4,174,2.42,1.72,0.35,0.31,NA,NA,NA,NA,NA,4.8,2.42,4.14,4.49,4.8,NA,NA,NA,NA,NA,"A2",0.8625,0.935416666666667
"74",441,30,4,174,2.32,1.61,0.42,0.21,NA,NA,NA,NA,NA,4.56,2.32,3.93,4.35,4.56,NA,NA,NA,NA,NA,"A2",0.861842105263158,0.953947368421053
"75",443,30,4,174,2.42,1.62,0.35,0.2,NA,NA,NA,NA,NA,4.59,2.42,4.04,4.39,4.59,NA,NA,NA,NA,NA,"A3",0.880174291938998,0.956427015250545
"76",444,30,4,174,2.56,1.61,0.42,0.22,NA,NA,NA,NA,NA,4.81,2.56,4.17,4.59,4.81,NA,NA,NA,NA,NA,"A3",0.866943866943867,0.954261954261954
"77",447,30,4,174,1.56,1.02,0.42,0.15,NA,NA,NA,NA,NA,3.15,1.56,2.58,3,3.15,NA,NA,NA,NA,NA,"A4",0.819047619047619,0.952380952380952
"78",446,30,4,174,1.56,1.12,0.31,0.13,NA,NA,NA,NA,NA,3.12,1.56,2.68,2.99,3.12,NA,NA,NA,NA,NA,"A4",0.858974358974359,0.958333333333333
"79",449,30,4,174,1.95,1.32,0.36,0.12,NA,NA,NA,NA,NA,3.75,1.95,3.27,3.63,3.75,NA,NA,NA,NA,NA,"A6",0.872,0.968
"80",448,30,4,174,2.05,1.21,0.21,0.27,NA,NA,NA,NA,NA,3.74,2.05,3.26,3.47,3.74,NA,NA,NA,NA,NA,"A6",0.871657754010695,0.927807486631016
"81",498,34,4,186,2.53,1.21,1,0.35,NA,NA,NA,NA,NA,5.09,2.53,3.74,4.74,5.09,NA,NA,NA,NA,NA,"A1",0.734774066797642,0.931237721021611
"82",496,34,4,186,2.51,1.19,1,0.42,NA,NA,NA,NA,NA,5.12,2.51,3.7,4.7,5.12,NA,NA,NA,NA,NA,"A1",0.72265625,0.91796875
"83",500,34,4,186,2.46,1.18,0.98,0.32,NA,NA,NA,NA,NA,4.94,2.46,3.64,4.62,4.94,NA,NA,NA,NA,NA,"A2",0.736842105263158,0.935222672064777
"84",499,34,4,186,2.32,1.37,0.75,0.32,NA,NA,NA,NA,NA,4.76,2.32,3.69,4.44,4.76,NA,NA,NA,NA,NA,"A2",0.775210084033613,0.932773109243697
"85",503,34,4,186,2.4,1.45,0.8,0.41,NA,NA,NA,NA,NA,5.06,2.4,3.85,4.65,5.06,NA,NA,NA,NA,NA,"A3",0.760869565217391,0.91897233201581
"86",504,34,4,186,2.52,1.25,0.92,0.29,NA,NA,NA,NA,NA,4.98,2.52,3.77,4.69,4.98,NA,NA,NA,NA,NA,"A3",0.757028112449799,0.941767068273092
"87",506,34,4,186,2.05,1.13,0.9,0.28,NA,NA,NA,NA,NA,4.36,2.05,3.18,4.08,4.36,NA,NA,NA,NA,NA,"A4",0.729357798165137,0.935779816513761
"88",507,34,4,186,2.23,1.04,0.85,0.33,NA,NA,NA,NA,NA,4.45,2.23,3.27,4.12,4.45,NA,NA,NA,NA,NA,"A4",0.734831460674157,0.925842696629213
"89",509,34,4,186,2.67,1.15,0.88,0.32,NA,NA,NA,NA,NA,5.02,2.67,3.82,4.7,5.02,NA,NA,NA,NA,NA,"A6",0.760956175298805,0.936254980079681
"90",508,34,4,186,2.42,1.23,0.78,0.34,NA,NA,NA,NA,NA,4.77,2.42,3.65,4.43,4.77,NA,NA,NA,NA,NA,"A6",0.765199161425577,0.928721174004193
"91",511,35,4,200,2.03,1.25,0.77,0.45,NA,NA,NA,NA,NA,4.5,2.03,3.28,4.05,4.5,NA,NA,NA,NA,NA,"A1",0.728888888888889,0.9
"92",512,35,4,200,2.13,1.37,0.81,0.55,NA,NA,NA,NA,NA,4.86,2.13,3.5,4.31,4.86,NA,NA,NA,NA,NA,"A1",0.720164609053498,0.886831275720165
"93",516,35,4,200,2.2,1.51,0.81,0.6,NA,NA,NA,NA,NA,5.12,2.2,3.71,4.52,5.12,NA,NA,NA,NA,NA,"A2",0.724609375,0.8828125
"94",515,35,4,200,2.15,1.72,0.82,0.6,NA,NA,NA,NA,NA,5.29,2.15,3.87,4.69,5.29,NA,NA,NA,NA,NA,"A2",0.731568998109641,0.886578449905482
"95",519,35,4,200,1.98,1.38,0.86,0.32,NA,NA,NA,NA,NA,4.54,1.98,3.36,4.22,4.54,NA,NA,NA,NA,NA,"A3",0.740088105726872,0.929515418502203
"96",517,35,4,200,2.17,1.53,0.99,0.44,NA,NA,NA,NA,NA,5.13,2.17,3.7,4.69,5.13,NA,NA,NA,NA,NA,"A3",0.721247563352827,0.914230019493178
"97",520,35,4,200,1.39,0.85,0.59,0.41,NA,NA,NA,NA,NA,3.24,1.39,2.24,2.83,3.24,NA,NA,NA,NA,NA,"A4",0.691358024691358,0.873456790123457
"98",521,35,4,200,1.34,0.91,0.52,0.35,NA,NA,NA,NA,NA,3.12,1.34,2.25,2.77,3.12,NA,NA,NA,NA,NA,"A4",0.721153846153846,0.887820512820513
"99",523,35,4,200,1.87,1.13,0.65,0.37,NA,NA,NA,NA,NA,4.02,1.87,3,3.65,4.02,NA,NA,NA,NA,NA,"A6",0.746268656716418,0.907960199004975
"100",525,35,4,200,2.13,1.29,0.82,0.26,NA,NA,NA,NA,NA,4.5,2.13,3.42,4.24,4.5,NA,NA,NA,NA,NA,"A6",0.76,0.942222222222222
"101",527,36,4,201,2.08,1.46,0.73,0.41,NA,NA,NA,NA,NA,4.68,2.08,3.54,4.27,4.68,NA,NA,NA,NA,NA,"A1",0.756410256410256,0.912393162393162
"102",528,36,4,201,2.26,1.42,0.76,0.39,NA,NA,NA,NA,NA,4.83,2.26,3.68,4.44,4.83,NA,NA,NA,NA,NA,"A1",0.761904761904762,0.919254658385093
"103",529,36,4,201,1.7,1.22,0.7,0.32,NA,NA,NA,NA,NA,3.94,1.7,2.92,3.62,3.94,NA,NA,NA,NA,NA,"A2",0.741116751269036,0.918781725888325
"104",531,36,4,201,2.27,1.48,0.91,0.47,NA,NA,NA,NA,NA,5.13,2.27,3.75,4.66,5.13,NA,NA,NA,NA,NA,"A2",0.730994152046784,0.908382066276803
"105",534,36,4,201,2.05,1.34,0.89,0.47,NA,NA,NA,NA,NA,4.75,2.05,3.39,4.28,4.75,NA,NA,NA,NA,NA,"A3",0.713684210526316,0.901052631578947
"106",532,36,4,201,2.19,1.5,0.82,0.4,NA,NA,NA,NA,NA,4.91,2.19,3.69,4.51,4.91,NA,NA,NA,NA,NA,"A3",0.75152749490835,0.918533604887984
"107",536,36,4,201,1.61,1.14,0.56,0.36,NA,NA,NA,NA,NA,3.67,1.61,2.75,3.31,3.67,NA,NA,NA,NA,NA,"A4",0.749318801089918,0.901907356948229
"108",535,36,4,201,1.83,1.27,0.62,0.5,NA,NA,NA,NA,NA,4.22,1.83,3.1,3.72,4.22,NA,NA,NA,NA,NA,"A4",0.734597156398104,0.881516587677725
"109",538,36,4,201,2.12,1.28,0.86,0.37,NA,NA,NA,NA,NA,4.63,2.12,3.4,4.26,4.63,NA,NA,NA,NA,NA,"A6",0.734341252699784,0.920086393088553
"110",539,36,4,201,2.22,1.27,0.86,0.36,NA,NA,NA,NA,NA,4.71,2.22,3.49,4.35,4.71,NA,NA,NA,NA,NA,"A6",0.740976645435244,0.923566878980892
"111",543,37,4,202,2.08,1.58,1,0.32,NA,NA,NA,NA,NA,4.98,2.08,3.66,4.66,4.98,NA,NA,NA,NA,NA,"A1",0.734939759036145,0.93574297188755
"112",541,37,4,202,2.24,1.7,1.05,0.35,NA,NA,NA,NA,NA,5.34,2.24,3.94,4.99,5.34,NA,NA,NA,NA,NA,"A1",0.737827715355805,0.934456928838951
"113",544,37,4,202,2.36,1.94,1.06,0.4,NA,NA,NA,NA,NA,5.76,2.36,4.3,5.36,5.76,NA,NA,NA,NA,NA,"A2",0.746527777777778,0.930555555555555
"114",545,37,4,202,2.52,2.11,1.23,0.45,NA,NA,NA,NA,NA,6.31,2.52,4.63,5.86,6.31,NA,NA,NA,NA,NA,"A2",0.733755942947702,0.928684627575277
"115",549,37,4,202,2.11,1.6,1.06,0.29,NA,NA,NA,NA,NA,5.06,2.11,3.71,4.77,5.06,NA,NA,NA,NA,NA,"A3",0.733201581027668,0.942687747035573
"116",547,37,4,202,2.24,1.87,0.93,0.35,NA,NA,NA,NA,NA,5.39,2.24,4.11,5.04,5.39,NA,NA,NA,NA,NA,"A3",0.76252319109462,0.935064935064935
"117",550,37,4,202,1.62,1.26,0.86,0.27,NA,NA,NA,NA,NA,4.01,1.62,2.88,3.74,4.01,NA,NA,NA,NA,NA,"A4",0.718204488778055,0.932668329177057
"118",552,37,4,202,1.49,1.16,0.85,0.24,NA,NA,NA,NA,NA,3.74,1.49,2.65,3.5,3.74,NA,NA,NA,NA,NA,"A4",0.70855614973262,0.935828877005348
"119",553,37,4,202,2.53,1.96,0.97,0.39,NA,NA,NA,NA,NA,5.85,2.53,4.49,5.46,5.85,NA,NA,NA,NA,NA,"A6",0.767521367521368,0.933333333333333
"120",555,37,4,202,2.08,1.55,0.77,0.22,NA,NA,NA,NA,NA,4.62,2.08,3.63,4.4,4.62,NA,NA,NA,NA,NA,"A6",0.785714285714286,0.952380952380952
"121",572,39,4,197,2.54,1.23,0.86,0.25,NA,NA,NA,NA,NA,4.88,2.54,3.77,4.63,4.88,NA,NA,NA,NA,NA,"A1",0.772540983606557,0.948770491803279
"122",573,39,4,197,2.64,1.22,1.13,0.37,NA,NA,NA,NA,NA,5.36,2.64,3.86,4.99,5.36,NA,NA,NA,NA,NA,"A1",0.720149253731343,0.930970149253731
"123",575,39,4,197,2.71,1.71,0.78,0.34,NA,NA,NA,NA,NA,5.54,2.71,4.42,5.2,5.54,NA,NA,NA,NA,NA,"A2",0.797833935018051,0.938628158844765
"124",576,39,4,197,2.63,1.23,1.16,0.34,NA,NA,NA,NA,NA,5.36,2.63,3.86,5.02,5.36,NA,NA,NA,NA,NA,"A2",0.720149253731343,0.936567164179104
"125",579,39,4,197,2.84,1.73,0.61,0.35,NA,NA,NA,NA,NA,5.53,2.84,4.57,5.18,5.53,NA,NA,NA,NA,NA,"A3",0.826401446654611,0.936708860759494
"126",578,39,4,197,2.7,1.18,1.21,0.29,NA,NA,NA,NA,NA,5.38,2.7,3.88,5.09,5.38,NA,NA,NA,NA,NA,"A3",0.721189591078067,0.946096654275093
"127",580,39,4,197,2.34,1.12,0.96,0.17,NA,NA,NA,NA,NA,4.59,2.34,3.46,4.42,4.59,NA,NA,NA,NA,NA,"A4",0.753812636165577,0.962962962962963
"128",581,39,4,197,2.28,1.41,0.71,0.26,NA,NA,NA,NA,NA,4.66,2.28,3.69,4.4,4.66,NA,NA,NA,NA,NA,"A4",0.791845493562232,0.944206008583691
"129",584,39,4,197,2.09,1.09,0.77,0.12,NA,NA,NA,NA,NA,4.07,2.09,3.18,3.95,4.07,NA,NA,NA,NA,NA,"A6",0.781326781326781,0.97051597051597
"130",585,39,4,197,1.9,0.83,0.49,0.1,NA,NA,NA,NA,NA,3.32,1.9,2.73,3.22,3.32,NA,NA,NA,NA,NA,"A6",0.822289156626506,0.969879518072289
"131",646,44,4,188,2.05,1.2,0.69,0.47,NA,NA,NA,NA,NA,4.41,2.05,3.25,3.94,4.41,NA,NA,NA,NA,NA,"A1",0.736961451247165,0.893424036281179
"132",647,44,4,188,2.08,1.16,0.66,0.49,NA,NA,NA,NA,NA,4.39,2.08,3.24,3.9,4.39,NA,NA,NA,NA,NA,"A1",0.738041002277904,0.888382687927107
"133",651,44,4,188,1.95,1.26,0.68,0.43,NA,NA,NA,NA,NA,4.32,1.95,3.21,3.89,4.32,NA,NA,NA,NA,NA,"A2",0.743055555555555,0.900462962962963
"134",650,44,4,188,1.97,1.28,0.78,0.47,NA,NA,NA,NA,NA,4.5,1.97,3.25,4.03,4.5,NA,NA,NA,NA,NA,"A2",0.722222222222222,0.895555555555556
"135",654,44,4,188,2.11,1.29,0.76,0.4,NA,NA,NA,NA,NA,4.56,2.11,3.4,4.16,4.56,NA,NA,NA,NA,NA,"A3",0.745614035087719,0.912280701754386
"136",653,44,4,188,2.16,1.3,0.75,0.47,NA,NA,NA,NA,NA,4.68,2.16,3.46,4.21,4.68,NA,NA,NA,NA,NA,"A3",0.739316239316239,0.89957264957265
"137",656,44,4,188,1.57,1.06,0.58,0.39,NA,NA,NA,NA,NA,3.6,1.57,2.63,3.21,3.6,NA,NA,NA,NA,NA,"A4",0.730555555555556,0.891666666666667
"138",657,44,4,188,1.65,1.02,0.64,0.39,NA,NA,NA,NA,NA,3.7,1.65,2.67,3.31,3.7,NA,NA,NA,NA,NA,"A4",0.721621621621622,0.894594594594595
"139",658,44,4,188,2.28,1.33,0.75,0.41,NA,NA,NA,NA,NA,4.77,2.28,3.61,4.36,4.77,NA,NA,NA,NA,NA,"A6",0.756813417190776,0.914046121593291
"140",660,44,4,188,2.06,1.37,0.62,0.46,NA,NA,NA,NA,NA,4.51,2.06,3.43,4.05,4.51,NA,NA,NA,NA,NA,"A6",0.760532150776053,0.8980044345898
"141",677,46,4,197,1.99,1.74,0.82,0.37,NA,NA,NA,NA,NA,4.92,1.99,3.73,4.55,4.92,NA,NA,NA,NA,NA,"A1",0.758130081300813,0.92479674796748
"142",676,46,4,197,1.89,1.53,0.64,0.29,NA,NA,NA,NA,NA,4.35,1.89,3.42,4.06,4.35,NA,NA,NA,NA,NA,"A1",0.786206896551724,0.933333333333333
