"","id","fish","agecap","lencap","anu1","anu2","anu3","anu4","anu5","anu6","anu7","anu8","anu9","radcap","rad1","rad2","rad3","rad4","rad5","rad6","rad7","rad8","rad9","zone","prop_age2","prop_age3"
"1",1,1,4,213,2.35,1.72,0.89,0.36,NA,NA,NA,NA,NA,5.32,2.35,4.07,4.96,5.32,NA,NA,NA,NA,NA,"A1",0.765037593984962,0.932330827067669
"2",2,1,4,213,2.35,1.77,0.91,0.31,NA,NA,NA,NA,NA,5.34,2.35,4.12,5.03,5.34,NA,NA,NA,NA,NA,"A1",0.771535580524345,0.941947565543071
"3",6,1,4,213,2.38,1.7,0.92,0.36,NA,NA,NA,NA,NA,5.36,2.38,4.08,5,5.36,NA,NA,NA,NA,NA,"A2",0.761194029850746,0.932835820895522
"4",5,1,4,213,1.59,1.13,0.59,0.16,NA,NA,NA,NA,NA,3.47,1.59,2.72,3.31,3.47,NA,NA,NA,NA,NA,"A2",0.783861671469741,0.953890489913545
"5",7,1,4,213,2.67,1.87,0.99,0.29,NA,NA,NA,NA,NA,5.82,2.67,4.54,5.53,5.82,NA,NA,NA,NA,NA,"A3",0.780068728522337,0.950171821305842
"6",9,1,4,213,2.52,1.65,0.77,0.3,NA,NA,NA,NA,NA,5.24,2.52,4.17,4.94,5.24,NA,NA,NA,NA,NA,"A3",0.795801526717557,0.942748091603053
"7",12,1,4,213,1.85,1.41,0.68,0.24,NA,NA,NA,NA,NA,4.18,1.85,3.26,3.94,4.18,NA,NA,NA,NA,NA,"A4",0.779904306220096,0.942583732057416
"8",10,1,4,213,1.67,1.35,0.82,0.23,NA,NA,NA,NA,NA,4.07,1.67,3.02,3.84,4.07,NA,NA,NA,NA,NA,"A4",0.742014742014742,0.943488943488943
"9",13,1,4,213,2.62,1.51,0.76,0.27,NA,NA,NA,NA,NA,5.16,2.62,4.13,4.89,5.16,NA,NA,NA,NA,NA,"A6",0.800387596899225,0.947674418604651
"10",15,1,4,213,2.01,1.42,0.52,0.18,NA,NA,NA,NA,NA,4.13,2.01,3.43,3.95,4.13,NA,NA,NA,NA,NA,"A6",0.830508474576271,0.956416464891041
"11",47,4,4,194,2.12,1.38,0.55,0.26,NA,NA,NA,NA,NA,4.31,2.12,3.5,4.05,4.31,NA,NA,NA,NA,NA,"A1",0.812064965197216,0.939675174013921
"12",48,4,4,194,2.02,1.33,0.71,0.38,NA,NA,NA,NA,NA,4.44,2.02,3.35,4.06,4.44,NA,NA,NA,NA,NA,"A1",0.754504504504504,0.914414414414414
"13",50,4,4,194,2.19,1.22,0.73,0.28,NA,NA,NA,NA,NA,4.42,2.19,3.41,4.14,4.42,NA,NA,NA,NA,NA,"A2",0.771493212669683,0.936651583710407
"14",49,4,4,194,2.19,1.28,0.7,0.25,NA,NA,NA,NA,NA,4.42,2.19,3.47,4.17,4.42,NA,NA,NA,NA,NA,"A2",0.785067873303167,0.943438914027149
"15",52,4,4,194,2.37,1.81,0.65,0.26,NA,NA,NA,NA,NA,5.09,2.37,4.18,4.83,5.09,NA,NA,NA,NA,NA,"A3",0.821218074656189,0.948919449901768
"16",54,4,4,194,2.49,1.25,0.75,0.33,NA,NA,NA,NA,NA,4.82,2.49,3.74,4.49,4.82,NA,NA,NA,NA,NA,"A3",0.775933609958506,0.931535269709544
"17",56,4,4,194,1.82,0.95,0.59,0.26,NA,NA,NA,NA,NA,3.62,1.82,2.77,3.36,3.62,NA,NA,NA,NA,NA,"A4",0.765193370165746,0.92817679558011
"18",55,4,4,194,2.13,1.07,0.63,0.24,NA,NA,NA,NA,NA,4.07,2.13,3.2,3.83,4.07,NA,NA,NA,NA,NA,"A4",0.786240786240786,0.941031941031941
"19",60,4,4,194,2.26,1.15,0.66,0.27,NA,NA,NA,NA,NA,4.34,2.26,3.41,4.07,4.34,NA,NA,NA,NA,NA,"A6",0.785714285714286,0.93778801843318
