Coefficient,Estimate,Standard Error,P-value,Region
a,-1.155,0.347,0.001,A1
b,0.030,0.002,<0.0001,A1
c,0.022,0.025,0.396,A1
a,-1.079,0.475,0.024,A2
b,0.029,0.003,<0.0001,A2
c,0.048,0.035,0.167,A2
a,-0.849,0.370,0.023,A3
b,0.030,0.002,<0.0001,A3
c,0.003,0.027,0.900,A3
a,-1.052,0.432,0.016,A4
b,0.025,0.003,<0.0001,A4
c,0.021,0.032,0.512,A4
a,-0.277,0.799,0.729,A6
b,0.023,0.005,<0.0001,A6
c,-0.017,0.059,0.770,A6
,,,,
,,,,
,,,,
