term,estimate,std.error,statistic,p.value,zone
(Intercept),84.43528901221877,4.235229591279585,19.936413644746104,1.1458498333602816e-52,A1
radcap,22.380784160400285,0.9098455759584313,24.59844258386855,2.6216780437757266e-67,A1
(Intercept),109.21305360579369,4.608147047714929,23.699993180545285,1.4260839832467443e-64,A2
radcap,17.18406592655394,0.9971262158892161,17.233591548116657,9.515587406056815e-44,A2
(Intercept),83.33242699100897,4.74929419935947,17.546276034499588,1.127778404831216e-44,A3
radcap,22.023915720442538,0.994284178547855,22.150524161621792,1.4688023368814838e-59,A3
(Intercept),120.79938711380967,4.746893512055147,25.4480929068725,9.977367679325007e-70,A4
radcap,18.33246314012102,1.2835991390370813,14.282078090106465,8.389584325367232e-34,A4
(Intercept),162.72553915758385,4.901073991938365,33.20201642032877,1.6709336081721485e-90,A6
radcap,6.286929036243596,1.2057184786495492,5.21425950383144,4.0566849166247123e-7,A6
