"","fish","agei","lencap","agecap","A1","A2","A3","A4","A6"
"1",1,1,213,4,2.35,1.59,2.52,1.67,2.01
"2",1,2,213,4,4.07,2.72,4.17,3.02,3.43
"3",1,3,213,4,4.96,3.31,4.94,3.84,3.95
"4",1,4,213,4,5.32,3.47,5.24,4.07,4.13
"5",2,1,175,3,1.88,1.89,1.99,1.76,2.26
"6",2,2,175,3,3.57,3.64,3.34,3.17,3.96
"7",2,3,175,3,4.2,4.48,3.98,3.9,4.6
"8",3,1,180,3,2.32,2.37,2.46,1.67,2.58
"9",3,2,180,3,3.71,3.78,4.03,2.57,3.95
"10",3,3,180,3,4.3,4.4,4.56,3.01,4.54
"11",4,1,194,4,2.29,2.19,2.37,1.82,2.26
"12",4,2,194,4,3.9,3.41,4.18,2.77,3.41
"13",4,3,194,4,4.5,4.14,4.83,3.36,4.07
"14",4,4,194,4,4.86,4.42,5.09,3.62,4.34
"15",5,1,183,3,1.93,2.06,2.02,1.61,1.88
"16",5,2,183,3,3.56,3.82,3.76,2.97,3.48
"17",5,3,183,3,4.32,4.59,4.47,3.75,3.9
"18",6,1,178,3,2.26,2.45,2.66,1.84,1.85
"19",6,2,178,3,3.54,3.67,4.16,2.88,2.69
"20",6,3,178,3,4.05,4.08,4.6,3.37,3.05
"21",7,1,199,3,2.24,1.83,2.11,1.85,1.41
"22",7,2,199,3,3.96,3.21,3.69,3.41,2.26
"23",7,3,199,3,4.86,3.84,4.35,4.16,2.75
"24",8,1,205,6,1.39,1.46,1.71,1.23,1.68
"25",8,2,205,6,3.02,3.15,3.8,2.74,3.06
"26",8,3,205,6,3.96,4.14,4.92,3.65,3.91
"27",8,4,205,6,4.35,4.62,5.23,4.07,4.26
"28",8,5,205,6,4.51,4.83,5.48,4.25,4.57
"29",8,6,205,6,4.71,5.13,5.74,4.48,4.72
"30",9,1,187,4,1.05,1.26,1.33,0.79,1.13
"31",9,2,187,4,1.87,2.21,2.35,1.39,2.31
"32",9,3,187,4,3.08,3.33,3.5,2.17,3.26
"33",9,4,187,4,3.85,4.4,4.18,2.7,3.91
"34",10,1,210,6,1.634,1.487,1.666,1.18,1.45
"35",10,2,210,6,3.319,2.742,3.432,2.48,2.765
"36",10,3,210,6,4.093,3.405,4.309,3.13,3.357
"37",10,4,210,6,4.666,3.78,4.831,3.53,3.675
"38",10,5,210,6,4.946,4.049,5.166,3.75,3.803
"39",10,6,210,6,5.14,4.187,5.358,3.91,3.874
"40",11,1,172,3,1.56,1.81,1.66,1.6,1.76
"41",11,2,172,3,3.39,3.73,3.64,3.11,3.84
"42",11,3,172,3,4.04,4.38,4.12,3.77,4.45
"43",12,1,201,6,1.205,1.43,1.57,1.33,1.54
"44",12,2,201,6,2.648,3.18,3.43,2.76,3.11
"45",12,3,201,6,3.438,4.12,4.33,3.54,4.03
"46",12,4,201,6,3.983,4.79,5,4.08,4.56
"47",12,5,201,6,4.14,5.05,5.21,4.28,4.77
"48",12,6,201,6,4.249,5.17,5.4,4.41,4.9
"49",13,1,177,3,2.44,2.59,2.19,1.42,2.24
"50",13,2,177,3,3.67,3.89,3.34,2.21,3.19
"51",13,3,177,3,4.46,4.75,4.07,2.75,3.84
"52",14,1,186,4,2.1,1.82,1.9,1.62,1.97
"53",14,2,186,4,3.56,3.08,3.29,2.76,3.38
