"","fish","agei","lencap","agecap","A1","A2","A3","A4","A6"
"54",14,3,186,4,4.3,3.78,3.99,3.49,4.05
"55",14,4,186,4,4.62,4.1,4.35,3.8,4.37
"56",15,1,171,3,2.06,1.98,2.13,1.58,1.8
"57",15,2,171,3,3.45,3.39,3.43,2.8,3.11
"58",15,3,171,3,4.02,4.03,4.1,3.33,3.58
"59",16,1,165,4,1.1,1.13,1.25,0.84,0.82
"60",16,2,165,4,1.87,1.81,1.99,1.36,1.44
"61",16,3,165,4,2.85,2.73,3,1.94,2.22
"62",16,4,165,4,3.63,3.53,3.76,2.55,2.84
"63",17,1,215,6,1.84,1.79,1.66,1.51,1.5
"64",17,2,215,6,3.49,3.12,3.11,2.78,2.5
"65",17,3,215,6,4.42,4.01,4.14,3.53,3.13
"66",17,4,215,6,5.04,4.5,4.73,4.03,3.49
"67",17,5,215,6,5.4,4.86,4.97,4.3,3.69
"68",17,6,215,6,5.51,4.96,5.09,4.38,3.74
"69",18,1,187,4,1.86,1.82,1.84,1.74,2.15
"70",18,2,187,4,3.32,3.33,3.25,3.12,3.46
"71",18,3,187,4,3.97,3.99,3.89,3.76,4.09
"72",18,4,187,4,4.43,4.49,4.32,4.16,4.5
"73",19,1,156,2,2.02,1.98,2.32,1.65,1.72
"74",19,2,156,2,3.34,3.18,3.74,2.79,2.67
"75",20,1,201,3,2.6,2.11,2.71,2.1,2.57
"76",20,2,201,3,4.3,3.5,4.35,3.55,4.01
"77",20,3,201,3,4.97,3.95,5.01,4.13,4.68
"78",21,1,180,3,1.79,1.74,2.12,1.53,1.26
"79",21,2,180,3,3.54,3.44,3.88,2.98,2.39
"80",21,3,180,3,4.47,4.21,4.89,3.81,2.92
"81",22,1,177,3,2.26,2.3,2.38,1.45,1.91
"82",22,2,177,3,3.6,3.68,3.85,2.31,3.01
"83",22,3,177,3,4.21,4.25,4.31,2.67,3.41
"84",23,1,183,3,1.96,2.14,2.19,1.61,1.5
"85",23,2,183,3,3.56,3.7,3.88,2.79,2.65
"86",23,3,183,3,4.58,4.83,4.85,3.76,3.23
"87",24,1,167,3,2.49,2.57,2.72,1.9,2.71
"88",24,2,167,3,3.57,3.96,3.81,2.81,3.82
"89",24,3,167,3,4.02,4.43,4.18,3.2,4.24
"90",25,1,180,3,2.05,2.4,2.16,1.52,1.93
"91",25,2,180,3,3.23,3.77,3.41,2.44,2.8
"92",25,3,180,3,3.77,4.6,3.99,2.88,3.19
"93",26,1,198,6,1.28,1.32,1.24,1.07,1.46
"94",26,2,198,6,3.21,2.9,2.92,2.25,3.14
"95",26,3,198,6,4.12,3.82,3.93,3.03,4.07
"96",26,4,198,6,4.52,4.37,4.44,3.44,4.53
"97",26,5,198,6,4.85,4.67,4.66,3.67,4.82
"98",26,6,198,6,4.99,4.82,4.8,3.82,4.95
"99",27,1,185,4,1.96,2.12,2.12,1.55,2.19
"100",27,2,185,4,3.07,3.17,3.61,2.38,3.15
"101",27,3,185,4,3.92,4.12,4.29,2.99,3.97
"102",27,4,185,4,4.12,4.35,4.52,3.26,4.17
"103",28,1,177,4,1.57,1.58,1.47,1.41,NA
"104",28,2,177,4,2.42,2.68,2.66,2.24,NA
"105",28,3,177,4,3.28,3.61,3.36,3.01,NA
"106",28,4,177,4,4.04,4.46,4.11,3.74,NA
"107",29,1,167,2,2,2.18,2.54,2.17,1.53
"108",29,2,167,2,3.66,3.59,4.19,3.3,2.5
"109",30,1,174,4,2.27,2.21,2.42,1.56,2.08
"110",30,2,174,4,3.75,3.76,4.04,2.58,3.59
"111",30,3,174,4,4.17,4.2,4.39,3,3.78
"112",30,4,174,4,4.35,4.4,4.59,3.15,3.89
"113",31,1,186,3,2.25,2.47,2.52,2.09,1.62
"114",31,2,186,3,3.36,3.79,3.88,3.23,2.41
"115",31,3,186,3,4.21,4.9,4.85,3.95,2.71
"116",32,1,217,7,2.21,2.29,2.12,1.78,2.58
"117",32,2,217,7,3.59,3.66,3.53,3.01,4.01
"118",32,3,217,7,4.86,4.9,4.37,3.98,5.19
"119",32,4,217,7,5.16,5.19,4.78,4.29,5.37
"120",32,5,217,7,5.47,5.48,5.07,4.38,5.59
"121",32,6,217,7,5.58,5.58,5.39,4.47,5.78
"122",32,7,217,7,5.68,5.67,5.59,4.58,5.89
"123",33,1,180,3,2.34,1.91,2.29,1.78,2
"124",33,2,180,3,3.87,3.12,3.55,2.89,3.29
"125",33,3,180,3,4.61,3.78,4.25,3.43,3.85
"126",34,1,186,4,2.53,2.46,2.52,1.81,2.42
"127",34,2,186,4,3.74,3.64,3.77,2.78,3.65
"128",34,3,186,4,4.74,4.62,4.69,3.52,4.43
"129",34,4,186,4,5.09,4.94,4.98,3.89,4.77
"130",35,1,200,4,2.03,2.18,2.17,1.39,1.87
"131",35,2,200,4,3.28,3.9,3.7,2.24,3
"132",35,3,200,4,4.05,4.78,4.69,2.83,3.65
"133",35,4,200,4,4.5,5.33,5.13,3.24,4.02
"134",36,1,201,4,2.26,2.3,2.45,1.83,2.22
"135",36,2,201,4,3.68,3.82,4.17,3.1,3.49
"136",36,3,201,4,4.44,4.67,5.08,3.72,4.35
"137",36,4,201,4,4.83,5.13,5.37,4.22,4.71
"138",37,1,202,4,2.24,2.52,2.11,1.64,2.53
"139",37,2,202,4,3.94,4.63,3.71,2.92,4.49
"140",37,3,202,4,4.99,5.86,4.77,3.76,5.46
"141",37,4,202,4,5.34,6.31,5.06,4.04,5.85
"142",38,1,186,6,1.48,1.67,1.64,1.07,0.98
"143",38,2,186,6,2.9,3.23,3.17,2.17,2.09
"144",38,3,186,6,3.54,4.05,3.86,2.74,3.04
"145",38,4,186,6,3.85,4.56,4.28,2.98,3.31
"146",38,5,186,6,4.12,4.92,4.57,3.29,3.5
"147",38,6,186,6,4.21,5.08,4.68,3.42,3.58
"148",39,1,197,4,2.49,2.71,2.96,2.34,1.9
"149",39,2,197,4,3.78,4.42,4.06,3.46,2.73
"150",39,3,197,4,4.82,5.2,5.21,4.42,3.22
"151",39,4,197,4,5.13,5.54,5.62,4.59,3.32
"152",40,1,181,6,1.35,1.17,0.97,1.09,1.41
"153",40,2,181,6,2.46,2.36,2.2,2.11,2.58
"154",40,3,181,6,3.62,3.36,3.24,2.91,3.42
"155",40,4,181,6,3.91,3.69,3.63,3.34,3.71
"156",40,5,181,6,4.35,4.12,4.1,3.58,3.88
"157",40,6,181,6,4.51,4.34,4.24,3.76,4
"158",41,1,180,3,2.41,2.49,2.5,1.95,2.07
"159",41,2,180,3,3.64,3.85,3.76,2.94,3.2
"160",41,3,180,3,4.19,4.32,4.32,3.5,3.59
"161",42,1,209,6,1.64,1.59,1.87,1.33,1.39
"162",42,2,209,6,3.49,2.89,3.78,2.82,2.3
"163",42,3,209,6,4.16,3.43,4.36,3.44,3.09
"164",42,4,209,6,4.56,3.76,4.84,3.7,3.34
"165",42,5,209,6,4.91,4.09,5.24,4.08,3.52
"166",42,6,209,6,5.15,4.28,5.49,4.22,3.62
"167",43,1,171,3,1.55,1.74,1.8,1.12,2.04
"168",43,2,171,3,3.37,3.53,3.51,2.25,3.67
"169",43,3,171,3,3.99,4.25,4.37,2.78,4.53
"170",44,1,188,4,2.05,1.97,2.14,1.55,2.28
"171",44,2,188,4,3.25,3.25,3.42,2.57,3.61
"172",44,3,188,4,3.94,4.03,4.16,3.1,4.36
"173",44,4,188,4,4.41,4.5,4.61,3.44,4.77
"174",45,1,191,3,2.09,2.12,2.61,1.6,2.39
"175",45,2,191,3,3.84,3.75,4.23,2.82,4.13
"176",45,3,191,3,4.6,4.59,5.25,3.4,4.76
"177",46,1,197,4,2.11,1.92,1.76,1.35,1.81
"178",46,2,197,4,3.88,3.62,3.75,2.56,3.68
"179",46,3,197,4,4.71,4.5,4.62,3.18,4.01
"180",46,4,197,4,5.08,4.91,4.98,3.48,4.18
"181",47,1,190,4,1.86,1.45,1.68,1.44,NA
"182",47,2,190,4,3.02,2.23,2.81,2.45,NA
"183",47,3,190,4,4.21,3.07,3.87,3.47,NA
"184",47,4,190,4,4.69,3.43,4.25,3.89,NA
"185",48,1,181,4,1.91,1.55,1.92,1.68,1.7
"186",48,2,181,4,3.38,2.48,3.43,2.65,2.68
"187",48,3,181,4,3.84,2.97,3.77,3.21,3.06
"188",48,4,181,4,4.19,3.21,4.06,3.4,3.24
"189",49,1,182,3,2.22,2.26,2.12,1.59,2.27
"190",49,2,182,3,3.67,3.54,3.54,2.53,3.59
"191",49,3,182,3,4.54,4.37,4.41,3.1,4.4
"192",50,1,210,6,1.52,1.6,1.54,1.32,1.81
"193",50,2,210,6,3.32,3.35,3.17,2.66,3.61
"194",50,3,210,6,4.29,4.37,4.15,3.52,4.7
"195",50,4,210,6,4.78,5.16,4.62,3.87,5
"196",50,5,210,6,4.93,5.41,4.83,4.14,5.19
"197",50,6,210,6,5.12,5.67,5.02,4.37,5.41
"198",51,1,180,4,2.22,1.66,1.99,1.71,1.94
"199",51,2,180,4,3.3,2.72,3.11,2.77,2.9
"200",51,3,180,4,4.24,3.82,4.23,3.69,3.78
"201",51,4,180,4,4.48,4.14,4.5,3.91,3.92
"202",52,1,186,6,1.41,1.37,1.64,1.17,1.59
"203",52,2,186,6,2.86,2.66,3.05,2.28,3.12
"204",52,3,186,6,3.45,3.21,3.74,2.83,3.7
"205",52,4,186,6,3.87,3.57,4.25,3.25,4
"206",52,5,186,6,4.09,3.84,4.55,3.46,4.43
"207",52,6,186,6,4.25,4.02,4.68,3.63,4.55
"208",53,1,169,3,1.97,1.98,1.83,1.85,1.7
"209",53,2,169,3,3.51,3.2,3.07,3.18,2.82
"210",53,3,169,3,3.86,3.49,3.57,3.66,3.16
"211",54,1,182,3,2.39,2.16,2.25,1.3,1.73
"212",54,2,182,3,3.8,3.79,3.77,2.2,2.88
"213",54,3,182,3,4.71,4.75,4.58,2.77,3.49
"214",55,1,185,3,2.6,2.33,2.67,1.68,2.55
"215",55,2,185,3,4.18,3.74,4.1,2.64,3.91
"216",55,3,185,3,4.97,4.42,4.96,3.27,4.4
"217",56,1,182,3,2.05,1.97,1.76,1.46,1.96
"218",56,2,182,3,3.72,3.83,3.3,2.89,3.76
"219",56,3,182,3,4.58,4.57,4.11,3.56,4.35
"220",57,1,170,3,1.74,1.84,2,1.55,1.81
"221",57,2,170,3,3.16,3.52,3.7,3,3.25
"222",57,3,170,3,3.79,4.22,4.41,3.59,3.76
"223",58,1,189,4,2.44,2.11,2.43,1.88,2.56
"224",58,2,189,4,4.15,3.49,4.33,3.08,4
"225",58,3,189,4,4.92,4.29,4.9,3.93,4.97
"226",58,4,189,4,5.22,4.53,5.21,4.14,5.22
"227",59,1,186,4,1.43,1.75,1.92,1.46,1.96
"228",59,2,186,4,2.48,2.98,3.24,2.58,3.29
"229",59,3,186,4,3.3,3.91,4.34,3.28,4.22
"230",59,4,186,4,3.76,4.34,4.96,3.79,4.67
"231",60,1,192,4,2.25,2.58,2.49,2.4,2.04
"232",60,2,192,4,3.4,3.8,3.89,3.61,3.23
"233",60,3,192,4,3.96,4.41,4.48,4.25,3.61
"234",60,4,192,4,4.16,4.68,4.84,4.54,3.8
"235",61,1,198,6,1.65,1.52,1.74,1.23,1.79
"236",61,2,198,6,3.38,3.16,3.56,2.5,3.59
"237",61,3,198,6,4.31,4.02,4.51,3.2,4.32
"238",61,4,198,6,4.94,4.68,5.1,3.62,4.93
"239",61,5,198,6,5.37,4.98,5.47,3.93,5.37
"240",61,6,198,6,5.55,5.18,5.67,4.08,5.55
"241",62,1,177,3,2.04,2.02,2.04,1.39,1.14
"242",62,2,177,3,3.58,3.22,3.43,2.57,1.85
"243",62,3,177,3,4.41,3.92,4.14,3.25,2.14
"244",63,1,208,6,1.96,2.12,1.54,1.53,1.49
"245",63,2,208,6,4.22,4.35,3.52,3.23,3.7
"246",63,3,208,6,4.78,5.05,4.38,3.84,4.27
"247",63,4,208,6,5.24,5.57,4.79,4.22,4.57
"248",63,5,208,6,5.53,5.92,5.13,4.46,4.81
"249",63,6,208,6,5.69,6.13,5.27,4.64,4.92
"250",64,1,171,4,2.14,2.33,2.41,1.85,2.15
"251",64,2,171,4,2.85,2.99,2.94,2.26,2.87
"252",64,3,171,4,3.32,3.42,3.37,2.55,3.28
"253",64,4,171,4,4.01,4.04,3.99,3.36,3.82
"254",65,1,195,4,2.36,2.21,2.4,2.07,1.74
"255",65,2,195,4,3.97,3.72,3.9,3.45,2.92
"256",65,3,195,4,4.88,4.57,4.76,4.32,3.5
"257",65,4,195,4,5.22,4.92,5.12,4.65,3.71
"258",66,1,203,6,1.84,1.72,1.74,1.38,1.3
"259",66,2,203,6,3.45,3.15,3.34,2.55,2.59
"260",66,3,203,6,4.49,4.15,4.23,3.36,3.29
"261",66,4,203,6,4.94,4.66,4.66,3.65,3.55
"262",66,5,203,6,5.18,4.9,4.85,3.82,3.71
"263",66,6,203,6,5.31,5.09,4.97,3.99,3.77
"264",67,1,203,6,1.8,1.81,1.91,1.47,1.98
"265",67,2,203,6,3.45,3.45,3.7,2.75,3.48
"266",67,3,203,6,4.43,4.27,4.43,3.45,4.25
"267",67,4,203,6,4.84,4.75,4.93,3.7,4.62
"268",67,5,203,6,5.11,5.1,5.22,3.91,4.8
"269",67,6,203,6,5.26,5.31,5.49,4.06,4.9
"270",68,1,170,4,1.17,1.26,1.41,0.81,0.89
"271",68,2,170,4,2.53,2.49,2.75,1.83,1.95
"272",68,3,170,4,3.7,3.53,3.82,2.6,2.59
"273",68,4,170,4,4.11,3.87,4.1,2.87,2.75
"274",69,1,218,6,2.06,1.82,1.94,1.6,1.84
"275",69,2,218,6,3.89,3.52,3.8,3.08,3.39
"276",69,3,218,6,4.67,4.18,4.42,3.72,4
"277",69,4,218,6,5.09,4.64,4.87,4.12,4.31
"278",69,5,218,6,5.8,5.36,5.6,4.74,4.85
"279",69,6,218,6,6.16,5.58,5.83,5.03,5.04
"280",70,1,221,6,2.09,2.3,2.31,1.42,2.08
"281",70,2,221,6,3.73,3.77,4.13,2.72,3.41
"282",70,3,221,6,4.51,4.69,4.82,3.31,4.06
"283",70,4,221,6,4.84,5.09,5.17,3.56,4.38
"284",70,5,221,6,5.14,5.43,5.56,3.76,4.61
"285",70,6,221,6,5.4,5.73,5.82,4.01,4.9
"286",71,1,182,3,2.15,2.3,2.23,1.45,2.26
"287",71,2,182,3,3.44,4.14,3.95,2.68,3.74
"288",71,3,182,3,3.91,4.68,4.34,3.06,4.1
"289",72,1,187,3,1.79,2.17,2.4,1.9,1.73
"290",72,2,187,3,3.42,3.46,3.88,2.99,2.86
"291",72,3,187,3,4.1,4.13,4.7,3.68,3.53
"292",73,1,201,6,1.64,1.65,1.77,1.08,1.41
"293",73,2,201,6,3.25,3.13,3.53,2.19,2.74
"294",73,3,201,6,3.93,3.95,4.11,2.69,3.38
"295",73,4,201,6,4.37,4.4,4.62,2.92,3.73
"296",73,5,201,6,4.78,4.71,5.01,3.29,3.9
"297",73,6,201,6,5.09,5.03,5.34,3.65,4.13
"298",74,1,171,3,2.41,2.11,2.37,1.59,2.51
"299",74,2,171,3,3.59,3.41,3.61,2.51,3.69
"300",74,3,171,3,4.15,4.05,4.23,2.99,4.29
"301",75,1,184,4,1.86,1.71,1.97,1.31,1.34
"302",75,2,184,4,3.35,3.04,3.57,2.34,2.38
"303",75,3,184,4,4.08,3.76,4.3,2.9,2.81
"304",75,4,184,4,4.38,4.08,4.62,3.14,2.98
"305",76,1,198,4,2.33,2.32,2.56,2,1.5
"306",76,2,198,4,3.79,3.58,4.15,3.15,2.23
"307",76,3,198,4,4.69,4.57,5.28,3.89,2.67
"308",76,4,198,4,5.06,4.99,5.58,4.17,2.79
"309",77,1,193,4,2.47,2.29,2.43,1.76,2.47
"310",77,2,193,4,3.94,3.5,3.63,2.72,3.83
"311",77,3,193,4,4.96,4.34,4.74,3.63,4.87
"312",77,4,193,4,5.42,4.69,5.14,3.89,5.2
"313",78,1,184,4,1.9,1.85,2.34,1.27,2.12
"314",78,2,184,4,3.41,3.08,4.01,2.39,3.58
"315",78,3,184,4,4.25,3.95,4.93,3.02,4.24
"316",78,4,184,4,4.59,4.25,5.1,3.27,4.55
"317",79,1,200,6,1.89,2.06,2.21,1.25,1.71
"318",79,2,200,6,3.22,3.7,3.8,2.46,2.84
"319",79,3,200,6,3.82,4.4,4.43,2.98,3.37
"320",79,4,200,6,4.12,4.84,5.06,3.27,3.6
"321",79,5,200,6,4.44,5.27,5.43,3.62,3.86
"322",79,6,200,6,4.68,5.51,5.68,3.81,3.97
"323",80,1,176,3,1.94,1.95,2.06,1.71,2.35
"324",80,2,176,3,3.21,3.28,3.54,2.96,3.87
"325",80,3,176,3,4.07,4.16,4.37,3.78,4.77
"326",81,1,190,6,1.47,1.78,1.69,1.25,2.04
"327",81,2,190,6,2.74,3.09,2.99,2.22,3.36
"328",81,3,190,6,3.27,3.77,3.47,2.63,4.17
"329",81,4,190,6,3.72,4.44,4.19,2.89,4.62
"330",81,5,190,6,4.06,4.67,4.55,3.13,4.88
"331",81,6,190,6,4.28,4.84,4.74,3.25,5.13
"332",82,1,167,3,1.95,1.95,2.15,1.4,2.24
"333",82,2,167,3,3.21,3.12,3.49,2.25,3.68
"334",82,3,167,3,3.8,3.7,4.13,2.7,4.22
"335",83,1,161,3,1.57,1.43,1.65,1.03,1.43
"336",83,2,161,3,2.97,3.01,3.21,2.23,2.81
"337",83,3,161,3,3.72,3.81,3.88,2.72,3.36
"338",84,1,168,3,1.7,1.73,2.1,1.69,2.05
"339",84,2,168,3,3.06,2.87,3.65,2.93,3.39
"340",84,3,168,3,3.85,3.67,4.54,3.57,4.17
"341",85,1,165,3,1.45,1.85,1.8,1.12,1.66
"342",85,2,165,3,2.73,3.49,3.34,2.39,3.07
"343",85,3,165,3,3.27,4.08,4.01,2.81,3.47
"344",86,1,208,6,1.77,1.76,1.77,1.29,1.43
"345",86,2,208,6,3.47,3.1,3.35,2.53,2.72
"346",86,3,208,6,4.34,3.88,4.18,3.11,3.18
"347",86,4,208,6,4.67,4.31,4.42,3.37,3.36
"348",86,5,208,6,5.05,4.61,4.86,3.64,3.65
"349",86,6,208,6,5.28,4.83,5.1,3.91,3.75
"350",87,1,179,4,2.1,1.93,1.86,1.48,1.73
"351",87,2,179,4,3.31,3.22,3.34,2.51,2.98
"352",87,3,179,4,4.1,4.1,4.18,3.1,3.49
"353",87,4,179,4,4.48,4.6,4.63,3.35,3.77
"354",88,1,166,2,2.5,2.26,2.49,1.77,2.49
"355",88,2,166,2,4.26,3.83,4.25,3,4.2
"356",89,1,211,6,2.29,1.85,2.35,1.52,1.56
"357",89,2,211,6,3.92,3.36,4.16,2.98,2.74
"358",89,3,211,6,4.47,3.85,4.57,3.43,3.05
"359",89,4,211,6,4.82,4.15,5.02,3.72,3.26
"360",89,5,211,6,5.1,4.36,5.31,3.99,3.45
"361",89,6,211,6,5.35,4.58,5.59,4.19,3.64
"362",90,1,205,4,2.32,2.27,2.48,1.84,2.64
"363",90,2,205,4,3.66,3.54,3.88,3.01,3.81
"364",90,3,205,4,4.37,4.25,4.68,3.7,4.46
"365",90,4,205,4,4.75,4.7,5.21,4.09,4.87
"366",91,1,157,4,1.27,1.56,1.48,1.09,1.47
"367",91,2,157,4,2.16,2.66,2.47,1.7,2.54
"368",91,3,157,4,2.91,3.77,3.35,2.3,3.26
"369",91,4,157,4,3.11,3.99,3.56,2.44,3.4
"370",92,1,170,3,2.57,2.53,2.63,2.11,2.1
"371",92,2,170,3,3.8,3.71,4.05,3.03,3.48
"372",92,3,170,3,4.47,4.43,4.7,3.73,4.11
"373",93,1,192,4,2.22,2.25,2.48,1.74,1.75
"374",93,2,192,4,3.52,3.68,3.95,2.93,2.73
"375",93,3,192,4,4.25,4.54,4.81,3.62,3.29
"376",93,4,192,4,4.65,4.98,5.17,4.06,3.51
"377",94,1,169,3,2.02,1.59,1.81,1.59,1.67
"378",94,2,169,3,3.56,3.41,3.56,2.94,3.04
"379",94,3,169,3,4.09,4,4.06,3.44,3.5
"380",95,1,221,6,1.68,1.88,1.86,1.55,1.75
"381",95,2,221,6,3.73,3.91,3.6,3.3,3.31
"382",95,3,221,6,4.53,4.96,4.6,4.1,4.02
"383",95,4,221,6,4.96,5.48,4.91,4.48,4.3
"384",95,5,221,6,5.33,5.95,5.24,4.77,4.55
"385",95,6,221,6,5.54,6.22,5.47,5.02,4.71
"386",96,1,192,6,1.6,1.72,1.93,1.26,1.04
"387",96,2,192,6,3.47,3.47,3.43,2.64,1.6
"388",96,3,192,6,4.21,4.33,4.23,3.27,1.91
"389",96,4,192,6,4.55,4.83,4.63,3.59,2.08
"390",96,5,192,6,4.86,5.22,4.87,3.88,2.22
"391",96,6,192,6,5.13,5.58,5.2,4.11,2.29
"392",97,1,218,6,1.93,2.22,2.18,1.31,1.89
"393",97,2,218,6,3.58,3.87,3.91,2.53,3.55
"394",97,3,218,6,4.42,4.84,4.89,3.17,3.99
"395",97,4,218,6,4.86,5.33,5.37,3.5,4.21
"396",97,5,218,6,5,5.67,5.68,3.68,4.41
"397",97,6,218,6,5.31,6.08,6.09,3.96,4.66
"398",98,1,184,3,2.16,2.3,2.6,2.12,2.32
"399",98,2,184,3,3.79,4.27,3.9,3.47,3.95
"400",98,3,184,3,4.54,5.2,4.52,4.21,4.51
"401",99,1,159,2,2.55,2.22,2.69,2.07,1.51
"402",99,2,159,2,4.05,3.64,4.19,3.39,2.47
"403",100,1,202,6,1.75,1.67,1.91,1.22,1.4
"404",100,2,202,6,3.18,3.03,3.3,2.04,2.58
"405",100,3,202,6,4.05,3.94,4.16,2.68,3.39
"406",100,4,202,6,4.56,4.52,4.86,2.99,3.7
"407",100,5,202,6,4.86,4.82,5.14,3.27,3.93
"408",100,6,202,6,4.99,4.96,5.26,3.36,3.98
"409",101,1,212,6,1.83,1.81,1.91,1.68,1.9
"410",101,2,212,6,3.48,3.53,3.61,3.17,3.59
"411",101,3,212,6,4.47,4.55,4.79,4.15,4.64
"412",101,4,212,6,4.88,5.05,5.11,4.52,4.99
"413",101,5,212,6,5.24,5.54,5.59,4.86,5.32
"414",101,6,212,6,5.42,5.77,5.82,5.04,5.49
"415",102,1,205,4,2.26,2.42,2.45,1.71,1.91
"416",102,2,205,4,3.6,3.8,3.91,2.62,2.77
"417",102,3,205,4,4.62,4.89,4.92,3.41,3.49
"418",102,4,205,4,5.04,5.4,5.39,3.67,3.76
"419",103,1,190,3,2.39,2.32,2.39,1.63,1.99
"420",103,2,190,3,3.93,3.82,3.95,2.74,3.41
"421",103,3,190,3,4.78,4.74,4.72,3.45,4.02
"422",104,1,208,6,1.98,1.99,1.83,1.61,1.26
"423",104,2,208,6,3.6,3.31,3.34,3.01,2.35
"424",104,3,208,6,4.41,4.03,4.13,3.7,2.78
"425",104,4,208,6,4.96,4.41,4.66,4.14,3
"426",104,5,208,6,5.23,4.64,4.96,4.34,3.14
"427",104,6,208,6,5.4,4.8,5.07,4.49,3.23
"428",105,1,201,6,1.46,1.28,1.46,1.16,1.98
"429",105,2,201,6,3.48,3.14,3.5,2.92,3.61
"430",105,3,201,6,4.4,3.91,4.4,3.67,4.48
"431",105,4,201,6,4.95,4.44,5.07,4.12,5.08
"432",105,5,201,6,5.28,4.74,5.44,4.42,5.38
"433",105,6,201,6,5.56,4.94,5.68,4.65,5.55
"434",106,1,201,5,1.954,1.99,2.037,1.268,1.785
"435",106,2,201,5,3.349,3.4,3.423,2.236,2.947
"436",106,3,201,5,4.228,4.37,4.248,2.938,3.582
"437",106,4,201,5,4.492,4.7,4.551,3.126,3.828
"438",106,5,201,5,4.735,4.93,4.796,3.336,4.039
"439",107,1,167,3,1.48,1.27,1.89,1.41,1.77
"440",107,2,167,3,3.55,2.69,3.89,2.63,3.4
"441",107,3,167,3,4.03,3.29,4.47,3.24,4.05
"442",108,1,194,4,1.89,2.11,2.02,1.64,2.21
"443",108,2,194,4,3.27,3.7,3.5,2.85,3.55
"444",108,3,194,4,3.93,4.57,4.36,3.54,4.26
"445",108,4,194,4,4.28,5.05,4.73,3.8,4.54
"446",109,1,202,6,1.94,1.88,1.81,1.08,1.18
"447",109,2,202,6,3.64,3.56,3.3,2.1,2.22
"448",109,3,202,6,4.58,4.44,4.16,2.55,2.81
"449",109,4,202,6,5.11,4.99,4.67,2.92,3.05
"450",109,5,202,6,5.28,5.27,4.88,3.11,3.21
