term,estimate,std.error,statistic,p.value
(Intercept),-0.7588673412812004,0.17353614819826688,-4.372964072097454,1.3331756188599141e-5
lencap,0.028437955586039464,9.093271823178274e-4,31.273623112808092,4.209887381564844e-157
zoneA2,0.008245833333335133,0.04345285188906296,0.18976506661489348,0.8495256759074546
zoneA3,0.15807327841376942,0.04354405539065245,3.630191928510701,2.952702066583095e-4
zoneA4,-0.9049237651412604,0.043498283815851566,-20.80366593248191,3.3309785272434803e-82
zoneA6,-0.5798744700935551,0.04363658945530735,-13.288721170279892,1.1420930321939496e-37
