"","fish","agei","lencap","agecap","A1","A2","A3","A4","A6"
"1",1,1,213,4,116.414127601349,119.42289569538,118.852935199791,106.288388250601,69.7198484065614
"2",1,2,213,4,172.95101292765,176.779212301035,176.20543002545,167.822396552272,166.885671087788
"3",1,3,213,4,201.811838723536,206.065597398964,202.813005875523,204.33706002214,201.717108346016
"4",1,4,213,4,213,213,213,213,213
"5",2,1,175,3,100.084184744152,96.2538314170928,103.19956186569,96.0194659637466,51.790556781988
"6",2,2,175,3,155.029268917995,149.946485428406,152.013377715614,148.755363555852,141.838026024327
"7",2,3,175,3,175,175,175,175,175
"8",3,1,180,3,115.519337471763,115.409511570554,111.611843021593,114.524194710682,73.634776337863
"9",3,2,180,3,161.115726918042,160.810917411783,162.885844850072,159.253821632123,148.453074834296
"10",3,3,180,3,180,180,180,180,180
"11",4,1,194,4,112.688192292278,116.729987138595,107.205693071278,114.496950567351,69.566983291917
"12",4,2,194,4,164.344212990503,159.889876786113,165.255345316919,157.737025062676,139.143920433378
"13",4,3,194,4,183.083058055621,185.159744419811,185.913339342076,183.759782739718,178.570551435433
"14",4,4,194,4,194,194,194,194,194
"15",5,1,183,3,103.53911138893,103.640719182606,99.8511894505178,96.1193503447293,53.3627405714736
"16",5,2,183,3,158.029108257967,159.38819832853,159.027510045322,151.92799531289,156.737353390171
"17",5,3,183,3,183,183,183,183,183
"18",6,1,178,3,117.05801076476,123.238738345233,116.264780157393,112.047534508421,82.0617741795133
"19",6,2,178,3,160.987619160507,164.912760844516,164.158961452593,157.666845270088,149.6921264261
"20",6,3,178,3,178,178,178,178,178
"21",7,1,199,3,112.987097345772,115.401868958556,112.677594899394,105.694250876652,69.3845084860245
"22",7,2,199,3,169.708945059279,173.313501517605,173.686563672714,169.475429660328,151.921376054607
"23",7,3,199,3,199,199,199,199,199
"24",8,1,205,6,88.5266534120668,86.6176046169273,83.1415749968127,79.2123336816868,30.3145966118446
"25",8,2,205,6,146.897862284575,142.93235769489,146.807345131934,140.558726241139,111.115925703237
"26",8,3,205,6,180.214400046425,175.348792989439,180.788331325896,176.657077431436,160.430141246322
"27",8,4,205,6,193.559823154852,190.353596756072,189.980992785487,192.136194836923,180.03953268723
"28",8,5,205,6,198.553689226392,196.140477949102,197.337482042531,197.516095694746,197.272538199963
"29",8,6,205,6,205,205,205,205,205
"30",9,1,187,4,79.3433467956745,80.9800142602072,80.7881273494826,76.0621643450072,5.66022205040965
"31",9,2,187,4,110.772291544624,112.928430932699,118.822477537825,110.785360744051,82.9554619452963
"32",9,3,187,4,157.537205097738,150.841347856204,161.741842625626,156.583869528685,144.953903683517
"33",9,4,187,4,187,187,187,187,187
"34",10,1,210,6,94.0124576483417,100.748889189594,86.9846780037559,85.8559144733425,37.3338611211986
"35",10,2,210,6,150.901357709525,153.361107569108,146.236249892211,148.002661630549,133.031343030486
"36",10,3,210,6,176.591988062164,180.503253556007,175.512614347906,177.978779432691,175.462436432738
"37",10,4,210,6,195.399136294696,195.254553514065,192.819126566672,195.581578252116,197.706821050859
"38",10,5,210,6,204.172153874535,205.445333753175,203.820392677534,204.275587403984,205.953122935458
"39",10,6,210,6,210,210,210,210,210
"40",11,1,172,3,90.4059563802897,93.7969168149831,87.9347279547309,90.6624108827384,26.9550138059582
"41",11,2,172,3,151.002680917955,152.904247428043,155.776427560413,148.120979724697,139.755768403212
"42",11,3,172,3,172,172,172,172,172
"43",12,1,201,6,85.4219484785024,84.1092838472619,80.7193606035852,83.1023483813339,17.3792143362459
"44",12,2,201,6,141.329405893224,140.656249119637,139.552628965028,140.740434042077,104.760383406353
"45",12,3,201,6,171.567867667685,170.390094777361,167.868479718725,171.181884605699,155.474450294632
"46",12,4,201,6,192.175542410195,191.186233896868,188.872865837234,191.581500671923,184.188255873815
