r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,zone
0.6894026735590767,0.6867815990743432,0.3228291179946992,263.0229234516258,6.690044415773582e-61,3,-67.68407997390439,143.36815994780878,157.29071564117675,24.699817543780796,237,A1
0.5581532049290864,0.5544245399917791,0.4415288495178918,149.69250772427011,9.219291338171967e-43,3,-142.8329340839181,293.6658681678362,307.58842386120415,46.20261081471257,237,A2
0.6393661012979012,0.6362968766280961,0.3432527718255253,208.31518382735493,9.022341540196411e-53,3,-81.70725504639684,171.41451009279368,185.30359278747957,27.688279360987945,235,A3
0.49737514806594696,0.4931156154224381,0.4015910801753691,116.76753993748443,5.5819644280593444e-36,3,-119.57211542543592,247.14423085087185,261.0500850585979,38.06099337963505,236,A4
0.17136010439465135,0.164247315591172,0.7399578129763731,24.09183080352766,3.087594359265369e-10,3,-262.2856218435361,532.5712436870722,546.4265709071747,127.57625264145307,233,A6
