term,estimate,std.error,statistic,p.value
(Intercept),-0.589886198854898,0.09021275829077538,-6.538833420363517,6.823978144862779e-11
lencap,0.02784413608308305,4.6351969700927735e-4,60.07109571122659,0
zoneA2,-0.04137199999999637,0.022044898017882605,-1.8767154180725085,0.060615780751428344
zoneA3,0.1163620497675141,0.022106110831758667,5.2637956379166875,1.470621134279993e-7
zoneA4,-0.986661367190457,0.022072575250308746,-44.7007816714389,0
zoneA6,-0.6915907303958319,0.02215138743724443,-31.2211021704681,1.6014462315571126e-195
